#{"t_start": 1716147771.1463115, "env_id": "LunarLander-v2"}
r,l,t
-320.395484,88,0.752473
-255.997549,87,1.397058
-144.290498,73,1.918169
-384.321963,98,2.655167
45.003674,118,3.483301
-63.902087,94,4.187467
55.705278,96,4.890563
-383.132551,92,5.541673
-125.497021,67,6.045742
-337.378455,99,6.941155
-269.309522,80,7.535747
-302.848427,110,8.336863
-269.471277,59,8.769436
-51.509744,78,9.335029
-437.330232,134,10.307702
-410.962857,95,10.993798
-100.994466,92,11.676932
-304.725691,105,12.444068
-55.900182,97,13.12466
-354.978591,131,14.083163
-286.372346,93,14.727261
-247.428296,114,15.523418
-205.165171,61,15.977481
-340.599297,98,16.688098
-117.715316,105,17.431239
-274.89165,104,18.234381
-380.391075,71,18.775393
-306.53771,95,19.474423
-295.189735,115,20.370752
-241.41399,83,20.988349
-234.703099,93,21.72899
-109.123881,86,22.401078
-336.434938,97,23.138689
-361.297495,129,24.271903
-106.630396,103,25.013288
-14.740562,100,25.734439
-244.445654,113,26.568062
-349.469386,95,27.248681
-480.820599,105,28.039824
-222.673504,78,28.617446
-28.332343,92,29.314784
-167.973469,124,30.230421
-236.918193,72,30.786796
-295.904374,124,31.707418
-297.299172,113,32.543538
6.134412,97,33.416234
-98.314961,157,34.585412
-174.67532,90,35.282035
-310.681138,135,36.303166
-122.249608,120,37.228832
-171.399514,74,37.796411
-115.277971,119,38.653547
-162.105107,98,39.404161
-253.960817,102,40.15578
-73.034341,81,40.788881
-138.090604,95,41.487979
-207.464682,113,42.415609
-72.537889,145,43.553683
-119.050685,70,44.127756
-308.002871,120,45.119766
-26.16038,125,46.188255
-89.348051,96,46.992176
-77.763102,136,48.073856
-306.461877,138,49.07802
-145.999349,66,49.597131
-195.190936,74,50.157356
-390.90134,116,51.034509
-84.094119,121,51.960662
-103.301021,170,53.271647
-204.855565,135,54.327708
-155.663445,59,54.79633
-186.33596,128,55.796483
-131.349176,154,57.049176
-141.454593,129,58.169833
-206.400217,109,59.143171
-161.822799,111,60.180775
-91.518357,93,61.159908
-76.741884,108,62.242679
-148.818675,116,63.364866
-224.600481,85,64.125967
-134.366895,138,65.418842
-100.10518,153,66.715014
-109.61487,127,67.816672
28.659858,1000,76.136103
-126.414559,114,77.124265
-104.726555,238,79.294957
-81.191569,141,80.613185
-87.905945,83,81.399621
-173.645362,362,84.676034
-56.48696,152,86.118754
-149.249348,313,89.017704
-138.159684,185,90.888013
61.469154,113,91.88206
-167.119885,348,95.500489
-240.861224,114,96.695652
-157.876742,150,98.121365
-52.231,417,102.386575
-45.877374,242,105.70509
-122.046286,172,107.957956
-91.235268,254,110.639834
-127.763682,87,111.639958
-162.572463,328,116.01433
-88.552062,229,119.140839
-67.794968,398,124.503121
-46.606507,190,126.879548
-117.34145,365,131.961711
-65.747098,71,132.87035
-41.615461,148,135.084398
-247.991676,344,139.589285
-189.610369,452,145.743204
-141.472742,205,149.015296
-88.340009,428,154.820449
-7.37501,244,158.653863
-78.414166,413,165.132848
-92.033187,414,170.864033
156.761572,907,183.993828
-105.356953,207,186.798358
-128.323944,259,190.336722
-62.298766,161,192.283331
-95.491587,109,193.587022
-102.167031,196,195.994225
210.204511,434,200.959468
-137.715884,236,203.679154
-90.686674,280,207.166557
-110.408955,216,209.899757
-154.323149,191,211.886751
-144.874151,132,213.275495
-126.782347,301,216.722029
-182.737059,522,223.494679
-92.080576,302,227.149943
-127.951145,760,236.684388
-40.210131,148,238.475655
-191.260476,241,241.420729
212.807827,458,246.538693
-171.770667,255,249.385692
-56.03456,69,250.178318
-10.161658,181,252.263144
-26.652246,137,253.750367
-143.284919,254,256.810317
-168.209485,107,257.891989
-155.270599,179,259.815712
-12.804161,1000,271.244057
-252.631428,210,274.19502
-136.522167,164,276.013852
-108.138049,145,277.6106
-218.652613,283,281.079074
-145.540931,114,282.398842
-144.435838,249,285.147263
-77.981616,561,291.397501
-223.30355,254,294.203036
-75.700638,141,295.779976
-58.885615,93,296.735141
-168.535812,301,300.223421
-195.287642,109,301.593203
-159.734922,138,303.150464
-170.575808,199,305.336308
-55.466516,171,307.192597
-121.976161,102,308.262248
-97.453163,114,309.486442
3.441644,127,310.880874
-118.056106,604,317.422403
-163.011801,284,320.23899
-186.199122,196,322.61387
-165.073511,189,325.289148
-28.891401,276,328.694679
-97.06941,107,329.970901
-141.131156,407,335.513449
-80.653799,233,338.290401
-79.572499,160,340.031669
-171.027399,151,341.945505
-57.369139,143,343.84235
-121.386535,104,345.212695
-176.470408,331,349.199238
-135.343546,155,351.133877
-118.079626,125,352.538875
-178.211408,239,355.558905
-147.860151,173,357.539223
-144.957653,249,360.438043
-253.680221,579,367.830487
-147.237912,102,369.108235
-21.238766,122,370.497223
-143.102401,111,371.53254
-136.731403,147,372.862874
-129.269405,527,378.407444
-140.311097,206,380.544318
-13.369467,164,382.147468
-276.070134,581,389.363578
-133.941528,130,390.826873
-92.69659,637,399.585683
-115.413312,217,402.223639
-164.845145,186,404.201189
36.489788,151,405.603843
-155.742262,258,408.076223
-67.440804,172,409.915602
-83.383663,126,411.399318
-182.374822,534,418.01836
-185.015044,182,420.059517
-125.256529,333,423.768391
-145.792228,140,425.571187
-156.205132,231,428.264685
-52.442815,120,429.496914
-170.278005,481,434.966502
-51.177202,189,437.371376
-174.905253,182,439.939834
-130.892549,128,441.765616
-92.079665,243,444.693517
-116.788385,215,447.280727
-209.970286,505,453.531859
23.825696,1000,466.144661
-181.345556,393,470.9407
-249.395929,621,479.223627
4.478908,138,480.705716
-245.847847,314,484.355617
-74.844328,161,486.223397
-238.900865,510,493.339116
-250.213999,595,502.157594
-164.160421,297,506.389682
-179.763091,353,511.345402
-215.456487,462,517.713936
-200.03131,433,523.038597
-53.197102,187,525.379569
-226.399677,347,529.927198
-129.78698,1000,544.204752
-108.269612,144,546.136038
-150.208157,137,547.897795
-136.808008,168,550.435742
-291.82616,733,561.11677
-140.719209,98,562.382728
-201.505633,486,569.610378
-17.364203,123,571.110155
-276.493103,892,584.656211
-76.570431,181,587.529587
-156.743598,551,596.279896
-182.50032,848,609.771644
-231.11493,780,621.844172
-257.023563,672,632.213705
-88.485595,1000,649.119253
-158.755061,573,657.284207
-130.643885,115,658.969959
-145.269605,171,661.299938
-115.935496,218,664.569505
-93.815022,186,667.13301
-215.105323,550,676.267702
10.094257,111,678.439502
-115.443964,1000,695.409535
-151.83546,1000,710.244085
-217.614469,625,720.585397
-257.062391,962,736.602225
-43.837461,220,740.079328
-227.072587,648,749.219337
-245.47357,528,757.846195
-90.389273,116,759.79149
-285.953566,885,774.652773
-151.925623,326,780.07877
-154.783087,213,783.579326
-139.516515,476,791.186378
-17.113362,1000,806.829463
-292.517749,940,822.437116
-171.852424,149,825.001009
-289.669777,985,842.636841
-125.980676,375,848.848855
-12.579472,177,851.619414
-59.633535,1000,868.225113
-44.408495,273,873.132303
-61.998099,1000,889.35449
-211.350537,534,898.018548
-132.76848,119,900.484138
-101.6273,1000,917.305558
-50.828857,420,924.678639
-175.592979,1000,940.097182
-162.403873,1000,957.282702
-121.403475,151,959.981512
-185.021551,758,973.359991
-16.014369,125,975.128831
-61.759915,1000,992.46193
-189.756779,515,1000.843508
-110.004844,1000,1019.951648
-142.830389,1000,1038.000535
-38.369488,196,1041.160539
-172.872386,1000,1057.326368
-160.232885,485,1065.353988
-308.840533,747,1078.449014
-219.644921,719,1091.697596
-162.015637,1000,1108.050951
-40.915324,435,1115.465796
-149.428688,605,1125.652871
-145.445477,1000,1141.933011
154.805656,832,1156.200322
-123.029901,1000,1172.85876
-211.43527,515,1182.291577
-54.118247,1000,1199.743691
41.911942,267,1204.611531
-88.205099,510,1212.308901
-75.436332,1000,1228.714217
-90.585811,297,1234.268541
-89.251872,1000,1250.993506
-38.994997,1000,1267.79497
-159.477682,223,1271.626375
204.013255,814,1285.620944
-130.067408,644,1296.628782
62.553576,171,1299.917913
-92.735664,157,1302.544898
-219.651419,933,1318.6002
261.251286,427,1325.039795
-214.439131,136,1327.041387
-112.396511,1000,1343.924575
-115.891996,1000,1360.83767
-108.733682,1000,1378.437616
15.232362,212,1382.178277
-64.927127,1000,1399.572474
14.478409,1000,1416.817905
-117.31496,1000,1433.565396
-85.110755,1000,1450.704621
-269.300408,995,1467.652518
-135.730712,1000,1485.754295
175.755736,595,1496.212642
-148.837928,1000,1514.845026
-46.737127,704,1527.375293
-144.848678,427,1535.811297
-157.556118,146,1538.208181
-179.617574,678,1550.756833
-107.833045,559,1560.793645
-263.881561,552,1570.944184
-147.077889,116,1572.802369
-96.153102,221,1576.453923
-61.081637,1000,1594.447226
-204.092339,639,1606.323632
159.904418,748,1618.030101
-112.58687,1000,1637.266181
-25.574583,156,1639.84211
38.485801,179,1643.096982
-49.105946,1000,1660.471563
-28.943999,486,1670.884794
-52.970681,1000,1688.718558
-52.222015,237,1692.771654
-53.066866,609,1704.414389
-167.817139,802,1717.617626
-131.599702,145,1720.53241
-120.046347,1000,1737.719756
-11.93807,159,1740.316699
-146.929193,710,1751.778097
-73.056916,1000,1769.522223
-122.223752,406,1776.332666
-8.028261,128,1778.484241
-71.480435,216,1782.191302
178.248686,766,1795.860452
-60.831347,1000,1813.206664
-40.3517,178,1816.178691
-48.611132,368,1823.247275
