#{"t_start": 1716147771.1373134, "env_id": "LunarLander-v2"}
r,l,t
-357.184208,83,0.723963
-343.321295,107,1.525583
-387.612066,79,2.100024
-158.093547,74,2.631655
-145.553508,102,3.372789
-105.658424,71,3.869849
-321.368626,117,4.745048
15.81033,119,5.597672
-226.100607,66,6.08874
-147.013677,101,7.014153
-249.201563,102,7.772281
-146.622333,101,8.491382
-122.323897,69,8.999465
-371.456127,82,9.586045
-231.595675,99,10.291699
-132.11228,95,10.999796
-306.40466,85,11.622402
-363.401536,90,12.279028
-213.888407,130,13.196683
-306.002081,109,14.006646
-202.743111,78,14.541228
-167.230036,80,15.113297
-393.576628,123,15.98848
-223.608837,70,16.501559
-244.817953,82,17.095677
-117.941118,101,17.828301
-282.55419,98,18.591921
-45.392087,73,19.14845
-145.764154,94,19.839166
-151.928727,131,20.839825
-163.777871,102,21.641479
-489.385036,106,22.469588
-119.054862,110,23.324714
-257.19367,90,24.134356
-54.895578,106,24.929785
-147.200826,98,25.613876
-392.786398,80,26.202986
-164.501,86,26.844113
-207.834563,104,27.604743
-124.298775,70,28.105823
-208.89178,63,28.588443
-202.189077,88,29.255781
-161.134667,73,29.798852
-308.430248,71,30.327761
-84.13298,84,30.963814
-133.332913,100,31.711416
-169.216041,124,32.651045
-162.273638,73,33.303718
-287.530063,107,34.127336
-231.131097,91,34.820956
-215.427053,110,35.662093
-0.089688,165,36.869763
-298.942566,95,37.61787
-245.81053,73,38.147458
-53.11537,97,38.90008
-103.247048,107,39.656702
-185.988928,103,40.480837
-21.287309,149,41.614486
-17.751936,73,42.210592
-162.266188,112,43.107655
-121.290996,92,43.833222
-118.917989,188,45.411645
-221.873757,129,46.495314
-172.845092,104,47.364748
-145.157202,178,48.66144
-236.065256,214,50.324389
-123.00631,128,51.280554
-63.19758,72,51.84064
-41.953876,154,52.990627
-4.708492,207,54.626798
-50.866083,129,55.635952
-184.911886,214,57.402221
-38.198221,179,59.009143
-155.897698,118,60.074257
-52.725206,147,61.58203
-65.553212,127,62.86526
-92.436477,117,63.918936
-89.68975,110,64.93277
-197.103765,123,66.053934
-7.784903,96,66.854035
-59.843725,166,68.274746
-33.086818,125,69.215378
-47.914092,152,70.416552
-52.998417,116,71.367739
-56.963867,110,72.223554
-30.793282,175,73.760993
-84.349649,119,74.792826
-79.267284,113,75.800535
-120.73374,99,76.660706
-4.328563,274,79.152926
-58.633518,124,80.334648
-53.382345,209,82.24077
-30.782204,334,85.314151
1.499949,442,89.512781
-120.066867,93,90.463902
-37.911977,111,91.478597
-61.289516,489,96.455624
-133.757756,175,98.162874
-34.401414,221,100.196985
167.965767,720,109.160099
-199.445076,591,116.46631
-67.139405,1000,130.051436
-62.374289,1000,143.452832
-218.064489,554,151.575858
-106.965105,1000,166.57208
-90.455911,125,168.21743
-192.519029,723,178.517755
-148.919479,252,182.150043
-111.605824,117,183.932305
-106.654876,1000,196.868353
-221.820658,518,202.668475
-232.40967,631,210.472351
-115.456416,240,212.868409
-214.132411,515,219.066953
-94.229144,404,224.11526
-215.742634,451,229.788876
-98.888954,249,233.182873
-248.781716,693,241.465731
-172.521422,328,245.185099
-3.998796,186,247.201823
-168.84358,443,252.217628
-162.807442,325,255.961675
-133.62644,143,257.567425
-162.679621,246,260.160248
-127.189325,109,261.172401
-163.448416,204,263.307789
-187.098214,388,267.719563
-152.935655,199,270.342944
-214.052465,273,274.145507
-132.572566,481,279.608484
-14.405638,100,280.878519
-228.535457,399,285.416313
-186.848436,363,289.223554
-172.50253,213,291.817062
-130.655845,224,294.296568
-202.095236,396,298.621486
-58.679474,1000,309.88972
-261.415555,496,315.224428
-12.032899,102,316.286402
-126.790876,183,318.289086
-224.96936,612,325.68823
-113.516724,133,327.306981
-223.912697,689,336.285081
-119.390373,634,343.957861
-205.128179,539,350.598523
-44.172416,97,351.71602
-169.835168,305,355.466392
10.10468,318,359.277883
-168.068751,359,363.480342
-129.661362,124,365.099077
-126.428996,124,366.756317
-167.762471,222,369.536801
-142.52103,262,372.128689
-144.929246,89,372.962281
-198.788726,258,375.592955
-176.748964,437,380.249266
-235.542469,568,386.545636
-124.903267,405,391.7085
-176.227308,281,395.581594
-181.077544,289,399.604689
-65.081673,160,401.635068
-259.158612,313,404.835742
-150.70939,170,406.48547
-228.616299,494,411.755356
-107.367166,394,416.739105
-114.359805,278,419.862491
-169.110629,125,421.260104
-158.23084,463,426.776448
-165.807609,140,428.371717
-149.961403,319,431.777752
-207.207761,572,438.848171
-168.797647,626,446.905668
-195.492293,443,452.267654
-204.353771,610,460.295358
-220.93691,298,463.822944
-152.149922,328,467.9954
-215.937418,627,476.005657
-178.576644,352,480.358837
-187.764561,281,483.59548
-152.996388,309,487.38605
-135.828019,240,490.580178
-97.543874,364,496.053198
-145.791824,444,502.573147
-213.435965,685,512.243521
-160.723704,477,518.7081
-174.52981,358,523.083599
-170.296002,354,527.730393
-219.763252,746,537.610181
-238.352008,551,545.807472
-235.109956,728,556.446239
-178.387869,388,561.779877
-144.146519,411,568.04505
-155.425143,435,573.978783
-143.198992,1000,589.333869
-244.988102,921,604.520342
-124.630203,1000,619.680159
-248.283754,536,627.909673
-173.071202,506,635.705744
-196.610397,440,643.475856
-91.680894,305,648.689695
-251.48448,793,660.09161
-231.56143,500,667.217521
-128.635367,1000,684.298119
-97.704287,1000,700.579321
-195.028774,418,706.863496
-159.010217,1000,723.370545
-98.477706,1000,739.458196
-206.705827,798,751.120374
-137.476567,1000,768.235133
-141.562501,1000,784.171554
-223.015772,792,796.842767
-154.529353,461,803.816636
-87.580049,1000,820.263272
-245.357217,892,836.242604
-199.024248,834,850.377656
-232.825987,684,861.105457
-192.852872,627,872.183152
-113.628285,1000,888.681401
-233.063031,786,902.20259
-176.863236,472,909.664364
-257.312313,831,924.159574
-176.967927,698,934.82825
-248.634969,674,945.855123
-228.992158,870,961.085228
-173.988677,750,974.103161
-100.487538,1000,991.274488
-63.316929,1000,1008.782372
-115.33863,1000,1027.941888
-179.583193,644,1038.996656
-192.827258,653,1049.431598
-284.374333,920,1064.461821
-131.356339,1000,1082.250387
-190.948191,594,1092.808244
-183.029778,606,1102.392589
-69.143954,1000,1119.626745
-254.299645,921,1134.566709
76.522377,155,1137.051597
17.406606,166,1139.870046
-96.735318,534,1148.893126
-209.656432,770,1162.826835
-166.178926,633,1172.662738
-130.506442,588,1183.461232
-130.059611,1000,1200.99885
-213.02934,617,1210.715185
-84.849161,1000,1226.965933
-207.62403,896,1242.47923
-177.630486,637,1253.04082
-118.457074,1000,1270.278285
-216.935241,880,1285.233388
-64.708208,1000,1302.691921
-140.895704,1000,1319.861362
-146.772366,1000,1335.232443
-94.630999,1000,1353.097247
-58.452276,1000,1370.942564
-114.060962,1000,1387.692579
-74.457811,147,1389.894694
-115.909571,262,1393.976807
275.579914,284,1399.437437
-71.224224,1000,1416.704393
-175.591857,825,1430.284961
-113.919899,1000,1447.731437
-191.620936,678,1458.846201
-242.074417,742,1472.535732
9.35917,1000,1490.406666
-58.97721,1000,1508.079131
-251.771553,904,1524.07831
164.292466,893,1540.968892
-60.204965,1000,1559.365396
-167.215035,96,1561.298028
-13.589422,1000,1579.128795
-87.811752,1000,1597.196166
-91.533344,733,1609.91384
-136.309779,1000,1628.281306
-62.830916,1000,1645.985379
-148.642676,497,1654.075406
-75.348324,1000,1673.555157
-109.93853,1000,1691.577474
-84.410744,1000,1709.410548
-113.955764,1000,1726.913176
-42.013561,1000,1744.184324
-118.279029,1000,1759.736514
-97.001451,1000,1777.919636
-169.282539,954,1794.645436
-15.977793,123,1796.637431
-62.698002,1000,1814.201802
-116.59937,500,1823.491809
-80.376785,1000,1841.870018
