#{"t_start": 1716147771.1473157, "env_id": "LunarLander-v2"}
r,l,t
-93.216727,62,0.509409
-423.556734,75,1.139518
-556.198647,91,1.772643
-149.050178,65,2.265118
-146.603188,148,3.333789
-86.7693,67,3.797336
-311.451753,114,4.636029
-440.753155,92,5.330638
-402.587796,103,6.076739
-231.656212,75,6.776128
-176.855435,66,7.285201
-237.127448,90,7.917798
-81.340402,83,8.552886
-412.827695,69,9.056973
-239.224388,98,9.764577
-268.478411,138,10.784768
-102.59601,69,11.28085
-182.957762,118,12.129003
-263.723754,79,12.699602
-484.467062,113,13.498848
-120.783533,62,13.964647
-161.094668,74,14.464715
-253.244738,82,15.069294
-175.668471,75,15.581923
-193.562652,108,16.368046
-70.266327,81,16.957642
-101.496327,88,17.61576
-236.595194,57,18.044844
-398.378277,114,18.901899
-218.390907,109,19.724653
-86.798285,84,20.369748
-112.377244,63,20.833831
-220.013963,84,21.477421
-316.013183,91,22.208045
-277.443832,101,22.977661
-320.607244,102,23.850317
-361.618211,121,24.795254
-44.413358,94,25.486362
-69.913676,93,26.157474
-190.735337,88,26.798601
-413.512223,119,27.682251
-497.141192,105,28.454929
-184.491614,98,29.180741
-52.079223,77,29.78485
-234.355482,98,30.505738
-252.53038,93,31.205346
-220.820662,91,31.895448
-23.322008,118,32.781063
-28.162998,96,33.609251
-142.125521,108,34.442899
-288.298124,118,35.346556
-228.446321,93,36.046631
-491.804112,186,37.443356
-59.871088,119,38.359997
-71.501694,118,39.218137
-63.371792,154,40.398319
-319.526767,203,41.936042
-255.242156,96,42.717647
-283.16777,111,43.60568
-145.8074,164,44.947251
-283.627652,106,45.850698
-279.243972,106,46.73085
-316.225139,111,47.614774
-345.988995,115,48.478414
-251.641918,130,49.482616
-20.633114,97,50.21988
-163.917266,138,51.271552
-107.266021,127,52.248716
-241.044213,130,53.233137
-306.607178,119,54.179653
-107.015428,122,55.125864
-123.691413,125,56.134025
-268.288954,167,57.531737
-141.012729,161,58.949138
-92.070717,133,60.175768
-87.87593,89,61.107392
-188.747829,75,61.87109
-320.190995,116,63.033773
-98.042055,169,64.539087
-341.748458,158,65.991421
-58.379202,96,66.803523
-231.413225,93,67.626146
-255.829089,96,68.385251
-89.641965,94,69.079356
-125.343715,181,70.533062
-174.417119,88,71.251203
-41.616294,176,72.6938
-219.947114,104,73.575446
-32.614571,260,75.897043
-117.251684,119,76.899239
-31.828902,110,77.895233
176.456122,980,86.901904
-31.370444,177,88.546134
-128.650985,229,90.893008
-108.380413,144,92.177584
-158.188124,412,96.501622
-53.912154,169,98.154872
