#{"t_start": 1716147771.1423116, "env_id": "LunarLander-v2"}
r,l,t
-310.222638,78,0.68145
-249.247764,81,1.284545
-396.74114,83,1.890158
-350.878455,78,2.441143
-141.972609,62,2.903699
-344.898429,73,3.423794
-159.01344,75,3.976361
-325.120818,116,4.84056
-213.920678,101,5.546673
-440.266743,103,6.464308
-348.665611,91,7.176183
-290.884301,119,8.013309
-103.980657,97,8.744436
-234.942586,95,9.425028
-171.351933,65,9.917095
-300.715532,93,10.589237
-181.094671,69,11.089319
-299.433163,74,11.643929
-346.124929,138,12.612582
-302.632345,79,13.188684
-217.829134,115,14.035163
-197.874702,115,14.820769
-282.8124,77,15.393903
-322.728202,101,16.104996
-329.233208,74,16.631076
-94.219275,117,17.49424
-8.505924,105,18.301381
-306.366747,106,19.072927
-208.049024,78,19.666145
-272.101317,143,20.763309
-21.522598,90,21.440425
-253.789049,86,22.142541
-240.695629,94,22.865151
-184.452524,90,23.608264
-32.013296,147,24.767257
-335.233642,83,25.379854
-72.423064,121,26.261518
-345.614756,142,27.310681
-383.019885,140,28.340875
-228.874341,71,28.877188
-413.686903,141,29.935372
-105.639933,138,30.965819
-362.585273,117,31.859451
-90.520929,98,32.576537
-140.716236,87,33.364233
-285.336464,76,33.932317
-288.97322,111,34.77496
-302.352269,149,35.915598
-306.722624,119,36.798255
-302.047909,118,37.695896
-130.351463,179,39.035607
-301.943059,119,39.917238
-229.864709,90,40.630356
-291.747884,124,41.570488
-152.975739,87,42.271101
-227.779232,167,43.601684
-291.769048,100,44.406639
-141.201666,97,45.229799
-66.416759,118,46.20277
-76.515781,97,47.03018
-109.461503,108,47.858827
-128.877121,86,48.489419
-463.059458,112,49.348101
-329.260594,115,50.25939
-63.495922,139,51.313556
-30.482681,83,51.932155
-276.410891,166,53.194632
-29.491558,124,54.183659
-127.218292,151,55.37993
-61.251491,112,56.253558
-357.152697,136,57.392221
5.557074,177,58.958144
-83.370967,168,60.516006
-17.916872,132,61.918093
-201.974231,157,63.437869
-94.97169,119,64.495037
-150.799634,88,65.343841
