#{"t_start": 1716147771.1443117, "env_id": "LunarLander-v2"}
r,l,t
-115.307337,117,0.989496
-225.658576,85,1.600102
-510.217711,82,2.182563
-477.72988,110,2.987212
-68.210286,64,3.451301
-259.577112,82,4.046872
-324.109176,131,5.008069
-291.760747,106,5.785208
-410.941547,83,6.53082
-203.145724,131,7.533745
-301.729664,69,8.012309
-244.361518,68,8.522384
-75.365081,68,9.027468
-230.879199,117,9.884092
-209.950742,98,10.591237
-360.478411,109,11.395379
-377.99447,105,12.162011
-316.182556,83,12.740129
-280.009981,74,13.279194
-63.196054,85,13.877134
-335.299725,106,14.642746
-242.256544,70,15.145814
-324.135131,88,15.752458
-219.603574,94,16.453562
-155.415769,154,17.564763
-452.930344,110,18.418899
-327.228103,94,19.104929
-203.053851,105,19.900679
-438.560639,87,20.563778
-203.035281,71,21.116859
-56.493148,129,22.112032
-89.392803,77,22.70412
-193.557264,96,23.467738
-434.577242,109,24.407946
-188.135575,82,25.013288
-67.335558,86,25.634391
-80.329107,88,26.290512
-209.080842,65,26.734603
-272.689308,183,28.094825
-188.87805,151,29.220267
-341.513356,90,29.902367
-103.385553,98,30.624257
-141.361941,70,31.17084
-307.625312,107,31.991961
-244.352488,87,32.615537
-149.092863,150,33.867314
-84.520754,150,35.010986
-153.396321,88,35.689599
-270.554556,114,36.549724
-273.195269,128,37.505361
-337.169472,118,38.399001
-96.829342,101,39.139624
-233.181597,123,40.059266
-144.455895,81,40.708371
-119.764994,163,41.938047
-151.50699,76,42.562631
-74.583756,129,43.600684
-229.279095,108,44.468149
-257.654375,104,45.352643
-247.654692,130,46.448317
-251.572596,104,47.318234
-272.814744,118,48.21388
-121.056314,66,48.684448
-244.695263,137,49.726182
-211.266788,91,50.440422
-270.798266,126,51.402073
-92.354882,153,52.56406
-163.771656,151,53.729092
-214.087433,85,54.392224
-264.50996,86,55.061866
-134.033902,88,55.754479
-18.951473,96,56.525588
-129.636392,103,57.401224
-272.274258,101,58.27439
76.324874,1000,67.594145
-114.717677,242,69.482913
-116.147675,133,70.544574
-178.419941,105,71.403736
-198.434708,310,74.030023
28.256397,127,75.121376
-95.919314,84,75.898046
-30.144058,133,77.056263
-56.321055,328,80.109563
-113.497976,98,80.972273
-81.750866,106,81.95222
-107.776623,123,83.046156
-34.13538,204,84.946097
-101.230321,112,86.01524
-78.040583,82,86.679361
-55.976761,389,90.538456
-96.344412,218,92.535642
-130.054347,178,94.290271
111.503754,1000,105.309511
-78.75216,235,108.37951
216.86442,584,115.373812
-68.707301,244,118.59782
-106.548728,298,122.755687
165.309995,501,129.466328
-121.403782,399,134.954881
40.160458,1000,148.862787
-67.037316,467,155.292541
-10.279964,184,158.162292
-154.191952,381,164.157073
-137.405985,363,169.310621
-134.285272,152,171.310616
-21.323156,108,172.537838
73.094795,994,187.180401
-123.071726,498,193.537507
-173.342142,218,196.247766
-126.176029,149,197.978522
-38.237082,263,200.909462
4.435106,394,205.564475
-154.295839,107,206.906023
-36.879283,164,209.025568
-127.009227,151,210.783103
-91.586796,278,213.645032
-222.399199,523,220.159611
-186.678892,189,222.627243
7.739865,260,225.594208
-64.722809,156,227.622021
-236.329889,237,230.569526
-86.939617,215,233.635993
-100.591464,283,236.858423
-147.094814,392,241.609752
-144.980402,197,243.913576
-23.385866,156,245.57967
-136.510413,119,246.882269
-124.427254,353,250.870466
-147.719048,153,252.619181
-70.848603,224,255.136562
-240.484251,362,259.133154
-176.950571,255,261.639472
-138.847751,123,262.983742
-99.502457,122,264.317953
-72.212298,100,265.416882
-157.132221,338,269.594345
-37.284305,110,271.061523
-67.08112,211,274.023999
-149.380448,234,276.637457
-132.635274,155,278.420711
-23.948515,160,280.372085
-181.736389,345,284.366638
-154.892771,114,285.611336
-162.430245,186,287.535109
-131.542563,227,290.035222
-65.103024,157,291.996095
-63.285534,154,293.684854
