#{"t_start": 1716144532.6029544, "env_id": "LunarLander-v2"}
r,l,t
-347.094647,84,0.182046
-188.208481,128,0.453602
-122.891117,65,0.598623
-277.420077,83,0.773645
-269.065411,106,0.988181
-108.582394,67,2.739478
-92.357259,68,2.875995
-107.216841,72,3.031525
-452.533763,107,3.250329
-461.12253,79,3.422352
-565.226863,110,3.650888
-189.063954,77,5.333157
-133.65409,67,5.478181
-114.610678,78,5.647204
-72.470634,67,5.788719
-137.890905,64,5.926743
-38.896849,67,6.067771
-358.714037,90,6.253795
-237.222897,85,8.068712
-243.915712,106,8.302742
-108.077686,111,8.542753
-101.803343,63,8.679264
-294.20794,100,8.898306
-182.719347,82,9.092737
-179.155576,66,10.764617
-211.794002,96,10.970153
-91.86666,58,11.090667
-79.2066,113,11.339216
-535.456925,102,11.549752
-241.180458,124,13.388554
-350.870138,107,13.616085
-138.157149,86,13.80511
-99.831482,87,13.994648
-122.828391,123,14.25318
-188.696516,126,16.091614
-152.782653,88,16.277634
-327.293272,96,16.492178
-96.775013,79,16.666207
-94.678628,101,16.880226
-199.855169,117,18.705361
-393.973563,111,18.938892
-385.916487,125,19.21544
-57.412265,108,19.437969
-280.174309,109,19.696501
-151.043917,87,21.4048
-293.335411,95,21.636857
-264.727418,92,21.853896
-244.831411,98,22.072434
-131.184768,76,22.23446
-43.71044,64,22.366971
-213.752781,117,24.200785
-132.77813,83,24.381817
-76.215721,123,24.644872
-213.966823,100,24.861891
-63.438436,93,25.073435
-207.603845,92,26.822195
-61.366434,70,26.968221
-156.758686,99,27.184757
-31.830529,85,27.373778
-91.391471,72,27.521802
-102.061237,62,27.655821
-43.931592,130,29.555115
-74.554747,92,29.74614
-132.253736,123,30.009682
-116.001614,94,30.204703
-59.649404,74,30.362735
-116.65704,104,32.134033
-5.254464,121,32.413063
-59.84116,72,32.577607
-241.737876,66,32.726627
-131.258488,74,32.884139
0.178139,68,33.037683
-35.381787,106,34.855489
-35.132794,109,35.093018
-61.105614,79,35.26805
-61.146532,86,35.450077
-30.908806,97,35.686628
-140.824739,90,35.890346
-92.378639,93,37.637276
-88.965201,104,37.8893
-7.408936,72,38.048833
-42.936161,70,38.209343
-255.274245,99,38.458885
