#{"t_start": 1716144532.6109593, "env_id": "LunarLander-v2"}
r,l,t
-83.439503,60,0.123042
-309.843054,96,0.331087
-315.854011,56,0.446597
-362.660664,105,0.677132
-565.074517,77,0.835156
-195.78042,96,1.037694
-191.626606,100,2.844991
-334.58774,107,3.07152
-278.117225,64,3.200035
-380.600215,98,3.415346
-169.996897,88,3.597374
-180.968665,81,5.288629
-105.920571,151,5.610694
-175.700057,73,5.769716
-106.10539,86,5.953742
-95.55188,82,6.128275
-334.450112,86,6.302792
-267.973235,82,8.111708
-244.865592,117,8.36725
-141.082957,79,8.542748
-289.157447,114,8.785773
-328.039244,80,8.96722
-187.491921,90,10.709104
-223.012054,75,10.872127
-265.387278,105,11.087662
-105.626416,64,11.225683
-203.105003,77,11.39621
-174.195748,110,11.619257
-109.940975,101,13.410552
-89.063487,124,13.67759
-108.274687,74,13.840618
-302.059046,100,14.053157
-209.96136,106,14.283176
-204.066027,103,16.06661
-147.753056,89,16.256628
-115.923834,98,16.473172
-77.533691,96,16.6892
-143.13403,78,16.852222
-129.928259,81,17.02176
-6.286428,89,18.792866
-228.871316,69,18.933886
-65.710317,124,19.208435
-75.753529,61,19.337452
-194.972409,107,19.578983
-186.361521,86,19.772004
-168.736022,66,21.437312
-255.068471,95,21.667853
-162.835964,98,21.89089
-76.235632,125,22.170943
-104.720152,105,22.388966
-81.095443,117,24.225309
-185.980631,81,24.398812
-112.141325,108,24.630867
-153.08399,85,24.81438
-123.090909,127,25.110433
-123.562514,113,26.892698
-135.56681,77,27.056234
-150.204284,85,27.250263
-231.685253,139,27.542304
-138.758214,112,27.773327
-110.617697,100,29.614115
-81.23705,94,29.817646
-55.887854,102,30.030187
-53.822078,89,30.213701
-91.242012,82,30.394727
-86.664191,85,32.120028
-99.637599,82,32.309543
-102.261946,116,32.576602
-89.553565,76,32.743623
-121.086187,99,32.963648
-18.895371,93,33.170189
-26.412918,119,35.016505
-81.164696,68,35.159528
-57.444922,60,35.290045
-99.377948,66,35.433072
10.234116,68,35.584111
-101.441938,82,35.784133
3.008701,74,37.501615
-71.733113,73,37.65827
-165.03411,92,37.882294
-19.148444,93,38.093827
-13.503248,75,38.26185
-111.87574,91,38.496392
-137.494812,102,40.325711
