#{"t_start": 1716144532.6099598, "env_id": "LunarLander-v2"}
r,l,t
-258.337906,75,0.15604
-444.746593,95,0.365084
-107.550136,136,0.655132
-97.733565,89,0.840156
-137.00799,106,1.066691
-375.783226,115,2.900991
-394.929618,95,3.104525
-371.511935,122,3.363833
-307.736276,70,3.508864
-20.88314,103,3.731398
-276.872365,61,5.377147
-106.096849,59,5.498175
-322.321008,102,5.717715
-246.274075,100,5.932738
-134.381953,83,6.10977
-298.087717,98,6.311792
-99.199568,117,8.196218
-76.264058,102,8.419723
-149.488413,59,8.549747
-143.682165,133,8.835307
-199.779512,103,9.077731
-240.961161,85,10.797613
-330.766622,80,10.96415
-76.189211,77,11.123174
-218.197159,82,11.306695
-119.888484,69,11.45273
-55.730991,71,11.594748
-89.530006,65,11.727767
-181.995082,125,13.574076
-176.357482,99,13.794104
-86.69384,94,13.998642
-242.002138,85,14.173664
-21.546687,89,14.37855
-119.617208,105,16.162119
-183.492838,118,16.412142
-144.561932,121,16.6842
-151.13546,66,16.82322
-79.291597,111,17.053761
-198.2828,92,18.832375
-133.189862,112,19.069906
-87.918864,102,19.292942
-210.922637,74,19.443964
-187.952476,101,19.684494
-127.370532,88,21.394795
-62.444227,126,21.701856
-128.590078,82,21.886889
-200.609661,103,22.122944
-297.301758,94,22.316961
-98.390621,103,24.108258
-97.794054,119,24.377812
-66.116291,100,24.58535
-84.240578,116,24.842886
-227.338334,100,25.070431
-116.100994,82,26.795186
-81.93291,93,26.992727
-209.769841,98,27.211754
-109.739722,83,27.389772
-48.893182,117,27.634816
-87.026965,71,27.781326
-55.331796,73,29.566109
-35.715521,70,29.709628
-155.186433,96,29.914655
-46.058437,62,30.047188
-104.28632,122,30.29721
-277.187597,100,30.519265
-89.955475,119,32.335054
-56.801615,121,32.612606
-130.122268,102,32.831133
-73.137817,111,33.085678
-50.72712,106,34.903484
-171.329171,91,35.096013
-54.983242,74,35.262044
-103.249748,77,35.424072
-112.616178,115,35.702621
-26.806451,118,37.512619
-43.728516,73,37.671269
-99.195324,79,37.861294
-26.891577,104,38.100827
-60.39654,83,38.28685
-0.11789,74,38.483388
-36.154377,86,38.685421
-187.988153,103,40.508744
-105.774886,105,40.748008
8.759356,87,40.976548
-105.168898,101,41.237653
-22.14525,110,41.521703
3.017344,116,43.391519
-66.442249,94,43.690572
-15.498618,77,43.942102
-109.663473,118,44.331671
-161.652611,100,44.658711
21.809312,128,46.535991
-202.819477,101,46.78002
-57.949931,110,47.051068
-1.071055,112,47.316096
2.980815,92,49.127906
-1.6424,129,49.476962
-39.261094,104,49.776499
-232.924419,103,50.08754
-99.771858,123,50.495107
16.025044,96,52.443905
-41.308392,125,52.950976
-2.332296,86,53.333535
-67.036865,112,53.844602
-50.624318,122,54.236066
-30.481216,140,56.227788
-9.443159,104,56.556831
2.388758,121,56.972881
47.771197,130,57.318929
-31.488427,126,59.294474
4.956753,143,59.860047
-12.301791,135,60.487138
13.786711,112,61.042715
-87.611192,83,63.031024
-14.178146,113,63.643613
-57.681848,104,64.129693
2.333498,133,64.556671
-26.80071,123,66.414569
99.094278,1000,72.612047
4.352193,116,74.834054
27.597406,121,75.577654
-50.71174,82,76.009222
72.260106,1000,88.646338
2.270134,121,89.242927
-4.007272,146,91.56485
-1.123531,127,92.248942
53.69058,135,92.977034
20.682439,142,93.929676
-25.102349,144,96.649538
91.312449,1000,107.803857
131.466651,1000,118.310697
29.785561,178,119.225321
29.512312,136,120.057959
150.505804,1000,130.910419
102.597894,1000,141.268855
-6.234947,183,142.633044
110.112335,1000,153.899061
95.119339,1000,165.564068
38.661265,193,168.326049
134.241433,1000,178.98683
141.720978,1000,190.721039
-36.374996,221,192.50279
174.288405,1000,204.720387
105.419327,1000,217.181843
150.02848,1000,229.523811
65.433896,1000,241.000523
122.85979,1000,253.365299
134.765159,1000,265.698118
135.075499,1000,277.380755
152.520587,1000,290.072751
52.874913,222,291.987586
50.637903,177,293.487573
86.33226,1000,305.208123
36.818345,187,308.392899
95.725318,1000,320.218718
104.486854,1000,332.82338
137.164733,1000,344.918943
-24.85398,329,347.388309
2.70577,122,349.660212
105.697964,1000,361.086972
123.173988,1000,373.519907
87.980698,1000,385.954538
126.138252,1000,399.426731
207.060052,420,405.230697
117.123746,1000,417.574522
-67.694608,149,419.041751
129.759133,1000,434.260593
125.079217,1000,447.409454
154.362508,1000,460.578159
209.552744,258,464.384552
147.780151,1000,476.559471
29.897489,246,478.774676
94.041097,1000,489.819896
89.819849,1000,502.04623
-3.356751,312,506.674011
116.192542,1000,519.181032
-47.214379,324,521.675385
137.29338,1000,533.767056
89.255334,1000,546.903856
-216.912237,202,550.093671
138.955775,516,557.02559
77.169018,1000,568.685218
138.466885,1000,581.061974
238.370237,524,587.772537
1.396179,282,591.030541
198.626696,299,595.131722
185.35195,397,598.995936
74.035576,1000,612.560124
97.447954,1000,625.274253
85.74766,1000,637.618327
111.506214,1000,650.026212
117.975644,1000,662.310423
82.539626,1000,674.283572
125.015774,1000,687.385556
-24.7546,409,693.815976
107.543246,1000,707.008886
118.689854,1000,720.840483
217.750473,579,728.619124
85.730071,1000,741.828792
165.25299,346,747.339645
86.531088,1000,759.962443
-90.073907,384,763.101368
123.308548,1000,776.027074
127.014508,1000,789.474695
84.966144,1000,804.418862
136.952937,585,811.577329
86.292399,1000,825.64561
120.205186,1000,839.234598
-67.579072,301,843.736979
-48.465344,222,846.006629
114.792752,1000,859.371245
59.213276,1000,872.348992
151.924666,657,880.362194
56.282514,1000,895.104749
121.687531,1000,909.767353
133.469016,1000,922.898277
199.087732,317,927.337134
120.459913,624,935.142813
91.872141,1000,948.64829
120.564245,1000,961.944548
-47.635619,292,966.250041
175.653631,1000,979.220922
209.786432,516,986.517327
180.910729,477,991.357932
113.931238,1000,1004.537336
-61.345351,252,1008.342459
186.925013,452,1015.194407
141.381681,1000,1029.647457
104.051653,1000,1042.842603
140.264537,1000,1055.899923
196.971594,384,1059.761809
157.617266,594,1068.71617
-68.384725,364,1072.12403
116.656584,1000,1086.637962
122.414597,1000,1100.620127
90.861792,1000,1114.297283
144.394778,1000,1126.82616
77.064665,1000,1140.103942
-36.076798,335,1145.242311
160.617142,465,1151.090958
87.425075,1000,1164.661597
163.586137,485,1170.932182
139.048664,1000,1183.131505
152.189093,437,1188.964524
168.926513,1000,1202.181138
191.159967,469,1207.986254
67.167925,1000,1220.689376
63.099529,1000,1234.834431
123.279147,1000,1247.781237
-57.207316,325,1252.158378
28.4013,173,1253.853718
118.223574,1000,1267.176667
149.174822,1000,1279.563354
143.555028,439,1285.192688
116.176451,1000,1297.016362
3.94073,243,1299.069308
106.347117,1000,1312.152825
215.415389,337,1316.982022
119.831104,1000,1329.683418
148.506754,1000,1342.302439
87.753757,1000,1355.518945
110.686187,1000,1368.92645
161.659486,430,1372.614455
151.436038,1000,1385.561082
102.866855,1000,1398.562771
124.487432,1000,1411.98577
-85.745113,283,1416.230622
129.723741,1000,1428.57786
94.848584,1000,1441.658114
127.254823,1000,1454.862818
151.566942,1000,1467.762244
119.740639,1000,1481.151027
175.078289,372,1484.927301
122.581868,1000,1499.469108
