#{"t_start": 1716146085.0410867, "env_id": "LunarLander-v2"}
r,l,t
-71.204629,88,0.656594
-161.819372,84,1.32971
-426.284276,78,1.921798
-157.453512,78,2.591941
-82.696461,76,3.366597
-781.227599,102,4.155254
-199.419407,103,4.964908
-366.724764,104,5.699008
-79.069464,72,6.202423
-578.267341,99,6.89703
-341.48593,120,7.761979
-378.234031,111,8.556114
-261.278843,90,9.212234
-121.080397,71,9.720285
-93.635635,58,10.143848
-310.5049,81,10.717432
-604.669514,108,11.516236
-617.960471,112,12.319777
-431.862028,113,13.127754
-131.459671,78,13.694597
-235.093936,81,14.238673
-288.676542,76,14.785781
-481.876785,107,15.552395
-327.403596,86,16.158983
-383.145967,87,16.787084
-228.586926,155,17.899294
-410.505956,115,18.76945
-497.364314,92,19.435591
-98.439157,65,19.900692
-432.520724,91,20.573702
-77.394433,97,21.252314
-479.916192,116,22.103748
-201.707267,71,22.638845
-53.404401,156,23.799696
-597.966897,93,24.489335
-77.768619,139,25.490505
-220.173167,85,26.122102
-267.381726,144,27.16524
0.469352,98,27.880643
-100.63642,131,28.844272
-0.963033,138,29.987944
-175.238094,85,30.634545
-375.169175,121,31.537751
-339.294673,73,32.049369
-366.154502,132,33.032086
-119.127098,74,33.610747
-300.458085,79,34.219332
-346.618459,133,35.272105
-347.883436,94,36.047797
-307.608551,129,37.141649
-102.454603,87,37.921784
-195.553342,186,39.611032
-154.642393,119,40.521678
-148.638191,117,41.412952
-162.173512,139,42.500667
-229.512743,176,43.884514
-230.938633,217,45.618289
-296.151593,160,46.885989
-178.69876,213,48.569218
-135.316963,77,49.161705
-148.26108,60,49.638787
-255.974181,194,51.133737
-449.794249,261,53.336082
-248.376441,228,55.613864
-36.07151,110,56.82308
-84.503954,89,57.751766
-288.983032,298,60.914689
-471.155327,261,63.748404
-130.294712,550,69.362304
-291.82757,419,73.43989
-261.774975,134,74.627088
-306.867356,317,78.073248
-370.887816,257,80.481261
-75.438392,232,82.768176
-290.733712,760,90.896997
-339.203501,590,97.7901
-246.186744,584,104.917269
-130.732948,1000,119.668574
-161.984708,1000,136.364341
-172.618154,1000,150.897198
-232.286229,1000,165.139068
-194.863532,1000,180.890454
-225.331928,1000,195.639062
-167.857968,1000,210.330379
-270.483963,711,220.918287
-170.715893,1000,235.274593
-128.558041,1000,251.423023
-191.168118,1000,266.207543
-130.55309,286,269.59391
-316.200456,242,273.030969
-169.892212,1000,288.200767
-217.04379,561,297.778045
-70.04562,318,302.534903
-127.975943,1000,320.499616
-217.452061,173,323.554157
-93.901216,1000,341.020247
-162.571936,1000,359.078242
-198.903063,1000,376.333817
-130.255439,1000,393.905434
-122.73594,1000,411.125987
-136.756766,1000,429.174267
-115.051349,1000,447.708817
-193.804657,1000,466.838525
-120.494497,1000,484.851806
-71.85524,1000,504.414481
-105.642437,1000,524.238194
-102.61465,1000,544.595703
-121.027388,1000,565.867654
-178.394732,1000,586.418027
-153.200834,1000,605.339459
-85.528717,1000,624.09133
-54.294193,1000,644.366368
-145.226283,1000,664.858025
-170.611738,1000,684.115294
-125.70421,1000,703.78632
-170.378163,1000,723.84683
-48.002719,1000,743.034464
-69.609906,1000,761.117445
-92.751351,1000,779.399877
-155.12878,260,783.307275
-276.435619,765,796.42345
-138.432652,1000,813.853778
-185.724492,95,815.755806
-189.177098,140,818.289191
-82.519304,1000,835.577441
-240.326916,750,847.218077
-139.901342,1000,863.845497
-165.591002,251,867.220983
-109.553898,1000,883.60336
-178.58933,143,885.482744
-280.508838,888,898.133034
-224.26708,765,910.213925
-191.35483,292,914.915352
-154.484896,152,916.923847
-205.643063,213,919.737296
-196.33309,308,923.663362
-195.456473,551,930.98408
-198.41992,129,932.451689
-180.673589,115,933.763707
-116.137012,142,935.473965
-127.682329,146,937.258774
-135.455094,276,940.644261
-109.205917,216,943.571538
-156.972648,178,945.925295
-248.945385,107,947.332986
-184.017718,112,948.744693
-275.111203,505,954.914198
-162.582606,296,958.081133
-159.068465,116,959.27881
-246.44599,533,964.873472
-225.818741,281,967.759325
-132.769879,178,969.832146
-236.009034,429,974.82971
-258.498897,336,978.517491
-274.503209,440,983.265387
-250.243546,514,988.903073
-178.688623,287,991.813267
-284.115355,362,995.452539
-154.086916,287,998.289464
-217.886178,346,1002.285612
-217.895784,335,1005.583294
-136.823843,166,1007.330707
-176.893428,137,1008.767742
-306.089368,334,1012.235358
-137.123546,172,1014.080146
-179.280586,144,1015.578552
-210.064854,584,1022.157918
-154.715324,158,1024.090948
-235.143579,475,1030.049797
-157.476717,824,1041.116132
-187.291543,87,1042.374333
-156.001999,194,1044.880558
-139.634986,94,1046.131767
-209.175465,476,1052.351883
-181.232504,95,1053.412459
-170.450552,104,1054.754763
-274.874988,417,1060.472792
-178.131627,199,1063.242171
-158.130414,670,1073.117362
-233.606146,328,1076.827129
-263.401669,344,1080.768545
-161.11735,136,1082.541151
-275.014344,493,1088.931027
-165.144239,143,1091.012106
-217.83926,102,1092.549401
-170.457666,785,1104.447537
-133.607169,499,1110.712936
-100.606416,1000,1122.018337
-206.838677,663,1129.206735
-220.321476,449,1134.769186
-168.907512,134,1136.254411
-241.04409,284,1139.038912
-128.713669,1000,1154.556118
-178.028388,196,1157.15594
-144.232812,171,1159.273229
-171.974322,488,1164.750335
-177.591156,363,1168.957191
-149.604066,107,1170.092862
-182.335962,191,1172.314725
-146.657898,171,1174.252769
-147.009199,255,1177.288907
-120.727495,1000,1190.315786
-166.75946,245,1193.175385
-185.396346,650,1200.868434
-168.669895,1000,1214.408626
-204.13329,104,1215.755946
-176.596719,385,1220.868555
-187.206672,114,1222.252033
-148.655818,737,1232.570228
-191.008166,375,1236.928556
-147.818223,170,1239.133873
-159.191319,100,1240.494115
-192.061144,341,1245.513791
-123.108254,223,1248.87305
-156.655318,370,1252.841141
-265.483654,404,1257.600057
-153.8756,161,1259.555386
-225.539858,421,1264.259109
-194.623857,434,1268.727548
-174.950801,500,1274.186635
-176.72875,454,1278.888882
-209.172098,207,1280.908885
-272.821618,602,1287.971667
-119.904825,297,1291.097313
-171.998927,337,1294.751783
-145.170788,280,1298.018056
-167.128749,205,1300.197911
-226.151917,655,1308.056889
-181.937746,459,1312.70998
-166.22983,319,1316.023515
-216.149266,149,1317.463868
-139.093335,177,1319.383328
-196.302737,524,1324.767732
-191.704087,339,1328.24171
-102.759207,138,1329.630886
-136.818655,87,1330.537503
-125.483119,241,1332.872976
-158.674391,110,1333.870133
-158.388931,126,1335.16882
-159.475807,247,1337.704781
-178.916064,210,1339.850024
-172.94831,290,1342.61399
-175.851613,147,1344.127205
-208.274371,280,1347.001165
-218.82936,108,1348.097815
-187.258404,210,1350.151173
-149.296793,319,1353.500791
-156.929565,305,1356.42509
-155.55502,180,1358.183133
-184.271921,90,1359.082769
-162.117187,202,1360.873043
-186.974116,147,1362.236247
-274.335889,371,1366.277626
-207.63825,266,1369.279017
