#{"t_start": 1716146085.0250852, "env_id": "LunarLander-v2"}
r,l,t
-96.853899,127,1.001159
-113.529371,100,1.750264
-337.042881,58,2.264375
-159.488686,70,2.827973
-352.74734,104,3.822173
-155.022023,71,4.386803
-281.421157,80,4.98191
-405.696119,79,5.533979
-649.64192,99,6.223425
-333.146939,74,6.7585
-90.452155,80,7.356402
-280.222828,93,8.016032
-216.305921,74,8.535105
-353.022666,66,9.002207
-414.65768,72,9.528262
-276.566862,101,10.259359
-426.350365,115,11.09881
-160.573953,81,11.66775
-239.517443,86,12.292779
-95.729124,102,13.02325
66.940393,88,13.641087
-530.052032,104,14.375192
-99.54163,63,14.832784
-191.343268,122,15.719418
-112.704428,76,16.244493
-197.353592,142,17.25766
-329.043078,92,17.918295
-405.491344,82,18.539914
-319.689149,73,19.087526
-696.428007,126,19.976696
-314.285634,100,20.700217
-573.307534,91,21.369828
-207.81892,92,22.014222
-131.433182,112,22.877895
-277.644182,94,23.574169
-372.620659,67,24.071249
-356.588713,77,24.63485
-505.901427,184,25.993589
-341.818305,82,26.598168
-1.545211,95,27.275753
-363.124359,97,27.988665
-204.30968,88,28.627249
-396.946363,132,29.725907
-292.825578,105,30.504029
-376.649286,103,31.263129
-231.182823,115,32.129882
-219.346435,80,32.702045
-212.526608,111,33.559223
-441.423806,167,34.81204
-212.431203,148,36.0618
-116.881897,144,37.271168
-186.605256,171,38.834916
-137.492675,101,39.744555
-57.181826,149,40.867206
-221.548067,118,41.796012
-567.018764,204,43.415953
-140.337653,162,44.637136
-360.427807,229,46.468416
-138.596531,163,47.805621
-491.523927,177,49.171703
-90.854075,94,49.905331
-400.93225,192,51.402278
-317.454506,187,52.92203
-105.910313,113,54.024712
-119.154807,122,55.21125
-260.260643,204,57.434212
-281.068551,210,59.710926
-57.898676,273,62.611709
-451.188241,221,64.979017
-102.556891,101,66.003704
-110.319302,680,72.750282
-84.8703,633,79.170954
-383.978215,220,81.149854
-406.086864,306,84.210373
-402.951304,603,90.777295
-140.536756,246,93.363463
-142.646127,599,100.628257
-254.903872,397,105.747228
