#{"t_start": 1716146085.0330863, "env_id": "LunarLander-v2"}
r,l,t
-99.583405,129,1.024157
-84.72812,82,1.620754
-425.347458,119,2.629943
-418.877992,92,3.548632
-477.024879,89,4.19876
19.133696,97,4.942397
-381.498087,121,5.822523
-607.160589,82,6.410962
-188.373536,72,6.902031
-225.715011,96,7.588453
-334.670512,69,8.090551
-81.896754,99,8.796662
-130.350135,81,9.37923
-254.542757,86,10.014336
-538.02307,104,10.752432
-469.751522,100,11.48324
-624.559142,98,12.17426
-179.280325,112,12.980247
-73.073745,89,13.628087
-505.118447,113,14.417722
-409.164247,68,14.909805
-657.062782,98,15.601905
-57.004395,144,16.615055
-90.0363,77,17.176659
-378.141809,102,17.911294
-645.549335,101,18.657426
-578.14051,98,19.393081
-234.028438,120,20.237137
-33.469862,82,20.837732
-473.408057,70,21.359826
-594.970494,108,22.140744
-451.522372,88,22.808887
-345.033337,164,24.023242
-430.498843,84,24.62985
-517.467512,143,25.676537
-587.97722,161,26.864194
-338.56479,67,27.354046
-162.637798,75,27.887644
-89.931342,128,28.821272
-379.294944,185,30.31448
-427.909058,114,31.14661
-517.712453,119,32.050368
-286.82258,130,33.003086
-357.017351,156,34.199331
-525.0089,110,35.06558
-289.246476,126,36.133489
-157.168088,83,36.840591
-387.488393,271,39.287987
-448.536346,145,40.397657
-183.415694,154,41.622993
-97.823229,196,43.14526
-226.956724,144,44.272588
-148.307795,68,44.79616
-244.432172,132,45.873326
-117.705003,218,47.573091
-148.623646,93,48.33268
-208.886346,87,48.99029
-176.812234,92,49.731298
-186.72077,127,50.721164
-144.394674,113,51.628813
-450.77842,277,54.07272
-183.941591,230,56.431024
-419.726535,238,59.031032
-167.230289,153,60.613612
-174.501191,248,63.320827
-285.987384,200,65.430094
-187.024418,179,67.318017
-355.719223,323,70.468457
-145.11435,328,73.607908
-279.19515,272,76.232877
-271.14406,518,81.466918
-114.325388,211,83.54528
-333.724351,432,87.882773
-310.548181,551,94.218099
-117.680443,95,95.323755
-194.401807,278,98.752328
-300.700997,290,102.071586
-262.98575,552,109.502357
-174.417747,1000,125.284555
-337.53467,623,135.691238
-276.412341,558,143.754996
-219.01029,445,150.380606
-186.025658,550,158.360194
-185.000452,652,167.890087
-281.335184,1000,183.760151
-248.62986,328,188.227802
-239.906851,370,193.780842
-271.276781,551,201.843273
-350.912411,515,209.206953
-188.264559,1000,223.947311
-356.261799,182,226.519795
-485.897704,767,237.587716
-179.46854,107,239.135444
-248.409459,147,241.429875
-212.610175,356,248.321103
-311.565696,356,253.18054
-278.918925,355,258.526824
-168.141803,138,260.590141
-369.727586,457,267.401717
-105.688767,1000,281.171775
-219.145075,272,284.995217
-225.101541,500,293.932304
-121.869714,228,297.766049
-267.210323,497,305.595911
-191.005781,560,315.825756
-399.462042,963,333.363775
-164.011225,108,334.824058
-159.828014,1000,352.663747
-185.247529,1000,370.643008
-133.172739,1000,387.421333
-78.363596,1000,404.630962
-195.144227,1000,423.04337
-138.723443,1000,441.320757
-82.303918,1000,460.496117
-130.796966,1000,477.966923
-129.902619,1000,498.06042
-225.664249,253,502.478302
-45.73066,470,510.954271
-112.191451,1000,531.509481
-62.392808,1000,552.378725
-99.117855,1000,573.169357
-53.815115,1000,593.025782
-96.735747,1000,612.339108
-29.781338,134,614.628683
-149.611572,1000,633.498199
-93.059639,1000,654.366017
-126.649731,1000,674.283831
75.149096,806,689.889719
-70.031847,1000,709.904818
-89.679263,1000,728.935549
-97.281932,1000,748.114743
-144.273062,433,756.644628
-109.38604,1000,774.390134
-180.373361,300,779.975943
-172.355744,150,782.231672
-119.638078,1000,799.166472
-74.804815,1000,816.980908
-118.635472,1000,834.087639
-194.595772,1000,849.585463
-167.648578,115,851.340268
-151.033167,1000,867.707054
-185.987265,131,869.483645
-149.168096,125,871.477913
-264.070396,796,884.807177
-184.375768,179,886.995871
-160.481075,510,894.456406
-310.07052,908,908.231621
-184.370258,102,910.044382
-109.985871,165,913.093851
-186.923025,112,914.586167
-172.820115,138,916.424545
-167.672364,1000,929.842325
-214.956714,222,932.232656
-162.148447,117,933.613692
-188.451173,211,936.112784
-191.879095,150,937.983885
-210.380742,107,939.373431
-194.563377,334,943.681557
-245.265459,356,948.3066
-222.652854,258,951.393188
-139.03446,285,954.985202
-210.476166,95,956.099854
-193.181364,149,957.568062
-150.315337,401,961.843032
-150.541246,187,963.809825
-239.390642,150,965.276021
-335.715033,834,974.700686
-125.617445,145,976.232453
-170.240402,141,977.77288
-207.792014,160,979.628679
-180.955498,159,981.240436
-84.132342,406,985.725948
-178.761894,93,986.76715
-180.75184,763,994.59118
-190.604497,122,995.874474
-223.42211,423,1000.329135
-126.085677,121,1001.685318
-133.780112,114,1002.956204
-175.205699,374,1006.670499
-285.420995,298,1009.767957
-185.648991,110,1010.844146
-181.806176,117,1012.10982
-238.842862,415,1016.509199
-219.855336,331,1020.301144
-89.236788,1000,1032.336839
-6.025048,331,1036.638305
-183.334937,287,1041.026612
-150.983361,301,1045.087582
-162.407766,294,1049.013714
-179.116402,284,1052.615907
-196.741608,266,1056.00294
-227.855531,596,1064.38081
-208.319037,374,1070.036092
-131.693466,162,1072.313752
-223.606843,146,1074.018747
-59.218842,536,1080.0374
-192.666069,111,1081.60398
-182.845115,108,1082.919196
-191.298945,229,1085.734551
-174.944643,764,1097.081884
-205.107641,135,1099.295442
-121.140355,122,1101.223294
-115.849556,390,1106.336459
-152.485591,106,1107.676919
-137.376415,516,1113.844084
-199.25277,196,1116.100677
-165.7881,538,1122.074851
-176.719695,104,1123.136008
-190.734892,100,1124.221159
-194.400254,122,1125.554338
-262.776859,397,1129.884855
-195.873417,109,1131.188575
-187.898943,127,1132.86241
-150.284988,426,1137.551612
-146.854984,186,1139.52502
-166.33394,115,1140.850221
-195.493052,134,1142.809149
-162.847218,86,1144.202843
-172.582864,222,1147.809371
-243.44185,812,1159.820313
-173.797337,366,1163.867959
-189.749644,127,1165.330189
-48.874539,258,1168.347586
-196.124003,195,1170.447452
-179.245575,117,1171.806647
-184.236655,121,1173.316998
-219.36505,408,1178.040031
-139.682498,253,1181.243956
-230.693115,455,1187.163541
-203.856154,159,1189.395163
115.462576,697,1197.788558
-84.61152,1000,1210.39199
150.520267,686,1219.965678
-157.227044,211,1222.612165
-259.250096,260,1226.274756
-131.524783,215,1229.458249
-82.577241,638,1237.292122
-77.463016,291,1241.171206
-155.796964,228,1244.469687
-200.431442,514,1251.397447
-194.969176,432,1256.138828
-221.443076,266,1259.435369
-181.484764,158,1261.259108
-191.794261,124,1262.602992
-135.408433,324,1265.933364
-150.878795,130,1267.288826
-148.708232,278,1270.410951
-166.859588,235,1272.86336
-94.11939,401,1277.205635
-142.182575,664,1284.337085
-135.979985,313,1287.969667
-173.957721,186,1289.915166
-132.139507,231,1292.33508
-218.701052,431,1297.303939
-185.872184,151,1298.906719
-140.75914,110,1300.067888
-132.395078,114,1301.39122
-170.936962,374,1305.823906
-147.339774,487,1311.275262
-184.300852,549,1316.796194
-204.838838,252,1319.440326
-217.780815,175,1321.163614
-197.218501,343,1324.772732
-220.405822,101,1325.756385
-194.266437,489,1330.839152
-174.069914,199,1332.712938
-238.419162,421,1336.946627
-194.254796,93,1337.8453
-227.447315,149,1339.349957
-152.340266,127,1340.763698
-213.482711,474,1345.362885
-256.996541,383,1349.255023
-241.357042,135,1350.54775
-191.260123,168,1352.262096
-192.016323,150,1353.920349
-157.862823,194,1355.625587
-173.90239,355,1359.190278
-177.868283,203,1361.009555
-198.888659,205,1362.900994
-216.940439,199,1365.157902
-163.184385,204,1367.352764
-138.238377,126,1368.777559
-128.536877,471,1373.63321
-192.185149,144,1375.272309
-172.983468,502,1380.301122
-69.6764,641,1386.646731
-185.260077,199,1388.630651
-239.280644,90,1389.507306
-204.972874,128,1390.724014
-177.758723,175,1392.312778
-197.600657,104,1393.275461
-212.718845,116,1394.36977
-220.108802,90,1395.215761
-184.849335,127,1396.337555
-184.045916,99,1397.191251
-214.050591,300,1400.227156
-239.082382,100,1401.354644
-149.076967,164,1403.137475
-177.137164,115,1404.44601
-203.822468,339,1408.428119
-124.92676,399,1412.726274
-175.005361,213,1414.960012
-147.158299,192,1416.954224
-261.435383,430,1421.071911
-84.429758,373,1425.050555
-210.258582,195,1427.006896
-218.045348,110,1428.075092
-227.001539,160,1429.566319
-209.039672,98,1430.573487
-146.110904,204,1433.011817
-169.329435,287,1435.984506
-177.535101,132,1437.344061
-121.732883,285,1440.423069
-247.106827,82,1441.271238
-194.59826,192,1443.593992
-226.435041,175,1445.178255
-116.916502,265,1447.734004
-175.784171,129,1449.236769
-158.769529,210,1451.737145
-163.121449,277,1454.479592
-163.366667,271,1457.023507
-213.754663,85,1457.935104
-224.036069,458,1462.848428
-209.911771,262,1465.481341
-171.611926,167,1467.176593
-223.573034,101,1468.281784
-201.065934,90,1469.400891
-222.96883,216,1471.684223
-176.479268,311,1474.992221
-138.622232,272,1477.746716
-150.474101,132,1479.088425
-61.306996,231,1481.153249
-150.774257,93,1482.102437
-227.739156,167,1483.709265
-226.428862,186,1485.649077
-194.941741,253,1488.211416
-149.406243,123,1489.344054
-137.619539,195,1491.188082
-237.560837,115,1492.226757
-219.459806,257,1494.658788
-257.745131,97,1495.721463
-179.31309,214,1497.972657
-184.509649,589,1504.810802
-207.35602,375,1508.910757
-164.265019,256,1511.738698
-245.208946,188,1513.704995
-215.858513,97,1514.74064
-262.660528,122,1516.104674
-192.718767,125,1517.587867
-155.806838,499,1522.974923
-191.650762,210,1525.031729
-247.897433,182,1526.719981
-195.573114,85,1527.657799
-245.250404,381,1531.510224
-289.461242,98,1532.539365
-195.870122,185,1534.570723
-201.939668,291,1537.401425
-175.015072,319,1540.87677
-153.0951,242,1543.130256
-183.486897,90,1544.044892
-104.543992,169,1545.585287
-160.063034,169,1547.170599
-256.020327,108,1548.225892
-238.252913,162,1549.905193
-123.408131,145,1551.28399
