#{"t_start": 1716146085.0420854, "env_id": "LunarLander-v2"}
r,l,t
-117.469481,122,0.937638
-331.17877,117,1.830776
-225.139084,73,2.444914
-177.314081,92,3.3666
-605.258152,117,4.296283
-358.532755,90,4.967911
-559.964438,112,5.758013
-320.793679,82,6.35095
-315.823498,97,7.059557
-446.102859,117,7.881515
-176.637531,133,8.822662
-316.432985,73,9.366226
-590.289478,120,10.236359
-318.659156,81,10.802945
-310.139251,79,11.38572
-217.447834,107,12.132745
-125.039256,95,12.831793
-62.18274,75,13.376006
-138.131458,86,13.988653
-231.36081,70,14.472245
-41.538456,74,15.00032
-291.289573,96,15.677418
-207.819895,62,16.118983
-279.817999,123,17.003627
-505.844523,95,17.682752
-91.823461,65,18.169831
-605.22689,127,19.106532
-493.218004,128,20.028204
-158.773437,122,20.916772
-364.758331,88,21.536365
-485.596792,72,22.062233
-428.823795,117,22.950925
-541.565576,117,23.808697
-90.905107,80,24.401825
-248.720498,75,24.940896
-140.593759,72,25.457995
-526.400911,151,26.611167
-248.063329,127,27.515597
-278.016677,93,28.197698
-90.382935,89,28.844274
-406.589475,90,29.6424
-194.322264,72,30.162462
-305.999836,147,31.251127
-164.64542,118,32.151885
-172.094863,137,33.147595
-148.120252,129,34.110824
-283.950254,87,34.793041
-87.654586,87,35.535639
-151.777419,150,36.797587
-100.829605,100,37.666728
-50.464247,90,38.494387
-68.289296,103,39.457016
-218.119947,100,40.218627
-238.274681,106,41.019759
-99.779994,141,42.104095
-127.062398,153,43.351923
-364.436781,223,45.059698
-124.469637,118,46.035859
-274.116353,198,47.568091
-179.492288,100,48.3852
-15.388212,109,49.257218
-59.74532,98,50.008354
-159.405608,259,52.06839
-430.610032,218,54.010713
-207.241466,105,55.051575
-586.902566,310,58.499935
-130.047419,166,60.156514
-344.642175,434,64.78496
-146.8024,393,68.777225
-209.030976,167,70.461464
-202.615029,370,73.968978
-96.55019,224,76.16837
-380.802124,676,82.962709
-345.157886,624,89.55651
-372.570664,805,98.923434
-217.984543,1000,111.905769
