#{"t_start": 1716146085.0290873, "env_id": "LunarLander-v2"}
r,l,t
-267.581427,71,0.534075
-448.232682,79,1.192195
-269.606147,91,1.874283
-102.89211,76,2.519426
-176.430989,98,3.495625
-250.951196,79,4.082246
-260.869768,83,4.719841
-418.886131,110,5.501977
-85.294366,80,6.078567
-135.882596,98,6.78301
-589.266651,80,7.378913
-613.815653,104,8.121554
-551.463127,86,8.704149
-332.102473,76,9.265237
-100.814285,89,9.914819
-199.958769,99,10.615917
-155.322289,120,11.490239
-477.196671,126,12.419741
-287.97595,112,13.225274
-251.443302,100,13.928135
-126.015754,131,14.831781
-340.292598,80,15.389368
-428.649721,91,16.050459
14.235202,98,16.765575
-82.470515,94,17.431196
-527.213149,96,18.128316
-400.43819,133,19.11753
-380.991117,94,19.792644
-547.470065,82,20.384175
-103.610683,71,20.89876
-244.152675,102,21.629656
-417.357228,71,22.148744
-52.629421,68,22.657844
-462.897942,109,23.468654
-647.323796,101,24.232272
-470.674756,104,24.982405
-409.795885,79,25.56551
-229.079704,97,26.282125
-179.643907,122,27.148236
-174.17692,93,27.843125
-381.079068,99,28.56373
-233.157574,117,29.562885
-217.23404,136,30.580542
-233.862163,145,31.651263
-243.052495,143,32.693039
-365.816242,70,33.21812
-378.282167,124,34.166824
-277.768344,169,35.509639
-259.601731,109,36.446533
-292.50439,136,37.624725
-219.059151,115,38.658893
-162.636209,165,40.082113
-236.081818,183,41.462951
-377.501691,114,42.360116
-211.562772,94,43.091259
-182.600322,273,45.273731
-83.234937,187,46.735956
-122.884657,148,47.926641
-74.786102,76,48.516215
-134.199812,105,49.363727
-207.774147,113,50.25238
-152.226477,75,50.806672
-101.583695,89,51.5373
-168.058845,662,57.961313
-63.139537,221,60.35055
-166.315316,98,61.293472
-136.19524,166,63.193312
-137.581352,74,63.948949
-202.65968,430,68.389664
-110.443069,305,71.390098
-175.702526,198,73.243349
-115.934303,69,73.903452
-384.582175,513,79.243466
-175.212766,134,80.375722
-249.588656,396,84.283375
-292.584909,591,90.74029
-112.237004,76,91.440572
-190.740478,559,98.188736
-238.56744,531,104.601224
-246.358161,1000,119.288021
-199.240547,1000,135.9463
-125.884622,1000,150.554137
-345.633706,852,162.443995
-161.651078,1000,177.965309
-190.657123,1000,193.158611
-184.821856,1000,207.59162
-183.995567,1000,222.590572
-191.70759,1000,236.889979
-188.231307,1000,252.896469
-199.765856,1000,267.769886
-38.599186,397,272.819926
-119.683701,461,279.548443
