#{"t_start": 1716146085.0360856, "env_id": "LunarLander-v2"}
r,l,t
-407.210902,102,0.78861
-630.377041,108,1.612754
-335.979772,97,2.410913
-286.243251,105,3.45211
-264.649039,91,4.132248
-576.84621,85,4.784355
-419.355235,94,5.463468
-220.656477,74,5.992058
-395.000552,71,6.518478
-408.949981,101,7.238339
-85.453298,92,7.89052
-198.233297,111,8.665634
-456.798765,82,9.285746
-464.648619,78,9.847797
-251.691999,92,10.505407
-177.050301,114,11.336846
-19.250099,88,11.968728
-364.172126,85,12.587767
-62.599663,111,13.379006
-234.369783,79,13.931141
-19.711186,74,14.444723
-172.01912,74,14.966813
-227.849091,80,15.521391
-441.660223,124,16.405033
-350.120888,96,17.102142
-298.415331,130,18.064812
-582.836258,112,18.895506
-473.102006,80,19.472106
-169.700815,92,20.130627
-484.793308,79,20.71622
-422.792412,117,21.541364
-348.423093,113,22.382298
-86.668942,68,22.901917
-513.304481,139,23.926727
-520.91386,106,24.690359
-495.724197,107,25.462995
-426.378009,71,26.016588
-268.133272,163,27.199749
-215.603908,118,28.067664
-165.501613,79,28.651249
-414.594687,117,29.6194
-167.699752,95,30.314479
-55.602465,122,31.218124
-340.324523,153,32.377426
-407.360052,148,33.477217
-429.733851,110,34.324399
-167.816387,108,35.172092
-280.514412,178,36.682081
-190.938512,102,37.551205
-158.352233,60,38.103817
-153.194375,93,38.935941
-227.638816,102,39.848071
-238.797092,127,40.794207
-275.514116,112,41.686501
-261.368874,144,42.771696
-164.878629,145,43.936035
-407.008792,259,45.997857
-275.721084,183,47.402576
-124.274232,83,48.093662
-282.179556,209,49.733299
-197.772164,113,50.622642
-173.592739,92,51.349761
-282.629673,218,53.146052
-218.617677,151,54.59297
-215.907147,180,56.525534
-194.707479,129,57.898803
-211.645326,215,60.216038
-306.0874,247,62.866731
-124.98622,217,65.180548
-141.283654,158,66.82692
-92.941183,95,67.804083
-61.704977,137,69.091278
-358.183782,370,72.736281
-63.575875,258,75.125175
-170.336462,296,78.385291
-219.890767,188,80.081622
-377.035043,274,82.771177
-320.379818,324,85.832275
-113.22395,352,89.956819
-118.872219,201,92.005781
-257.422233,453,97.556539
-235.788747,609,105.015784
-285.995201,620,113.589147
-307.417424,602,123.431789
-198.211855,735,135.61023
-237.790353,393,141.34648
-223.488516,494,148.458735
-351.884524,488,155.758551
-294.888089,499,162.540509
-109.064241,369,168.402678
-322.016553,221,171.453441
-277.429501,410,178.068821
-291.275018,460,185.469204
-241.265561,181,187.909738
-183.058426,252,191.450717
-299.414274,435,198.154526
-328.597483,516,205.373783
-305.41487,217,208.595796
-304.451584,466,215.754222
-546.884837,207,218.931085
-129.422765,265,222.656086
-224.861099,273,226.389256
-495.611323,481,233.470924
-331.659725,384,238.880402
-148.038109,543,248.719607
-371.216203,400,254.0301
-428.819294,508,261.858829
-295.477592,191,264.785824
-313.047382,384,269.612918
-248.967531,177,272.038833
-176.600791,560,280.235232
-265.222338,389,286.016389
-166.780477,189,289.719451
-298.932682,472,297.550015
-251.310743,577,306.948922
-307.187665,343,313.293165
-138.780032,620,324.129987
-212.73735,620,335.13605
-224.014475,662,347.174816
-351.161954,765,360.713443
-130.1148,456,368.869853
-143.664978,411,375.530234
-163.071492,1000,392.974762
-193.508372,724,405.305542
-130.64524,493,413.946871
-146.922743,1000,432.284378
-170.699253,631,444.504834
-70.47182,404,451.152945
-168.490946,208,455.647758
-85.525669,1000,473.970334
-141.622346,1000,493.648395
-172.712826,1000,511.951416
-84.211505,1000,532.549482
-109.910321,1000,553.384765
