#{"t_start": 1716146085.020084, "env_id": "LunarLander-v2"}
r,l,t
-335.809226,62,0.480572
-333.270473,88,1.200199
-345.694239,102,1.948804
-73.072776,102,2.830975
-431.468704,76,3.63415
-334.501457,93,4.322285
-155.463857,94,5.046912
-349.202736,92,5.674499
-389.048207,98,6.375951
-332.309025,109,7.175075
-625.207363,106,7.939523
-337.202495,82,8.477598
-312.860916,73,9.033208
-197.438264,102,9.76829
-325.714746,124,10.662921
-390.888136,117,11.502242
-219.828504,106,12.268266
-72.493964,76,12.816799
-506.26386,83,13.430059
-100.594677,77,13.977144
-246.721126,153,15.058321
-250.319212,95,15.726419
-326.605223,114,16.506546
-386.345704,106,17.292171
-262.815561,89,17.922296
-320.211087,101,18.669427
-356.354189,135,19.652623
-554.728217,122,20.561196
-530.662996,86,21.155795
-145.325102,104,21.899204
-432.508024,87,22.566323
-587.400999,91,23.239124
-456.602714,110,24.074253
-324.207021,113,24.870875
-324.84734,199,26.360129
-109.493892,119,27.218751
-289.279851,107,28.026663
-264.680964,121,28.904788
-272.480553,128,29.949439
-229.9483,200,31.462242
-188.958568,104,32.238401
-59.72844,81,32.811553
-281.723634,413,36.0658
-166.659702,147,37.310679
-333.408712,120,38.406356
-110.273463,81,39.149972
-171.283679,173,40.540681
-636.981344,224,42.279613
-105.01724,139,43.379929
-341.9596,226,45.14621
-235.946474,101,45.956345
-258.523255,227,47.778122
-138.872745,118,48.677733
-353.631979,103,49.497275
-131.651864,82,50.151869
-52.2791,142,51.221254
-27.542111,80,51.900361
-63.021809,182,53.476106
-229.596264,130,54.703501
-417.37887,198,56.841082
-42.213308,168,58.732972
-194.429104,222,60.978694
-59.097588,92,61.956594
-166.27572,76,62.794222
-565.048605,435,67.438038
-283.208015,122,68.570686
-189.630101,200,70.567974
-367.01271,179,72.240209
-128.370711,125,73.467891
-247.197995,386,77.375635
-70.618503,151,78.990934
-467.460348,487,83.643792
-8.314623,295,86.431613
-357.106304,344,90.521267
-365.824681,547,96.855933
-365.353145,422,101.687109
-304.39298,273,105.437131
-178.006982,127,107.067448
-78.100921,156,109.099291
-364.595275,665,119.368536
-352.34805,636,129.229735
-336.850604,502,137.954132
-160.85083,568,146.043366
-353.950978,560,154.506893
-347.785787,493,161.093306
-360.100173,459,168.311653
-256.976707,793,180.743932
-246.432332,373,186.433849
-30.041944,253,189.851406
-302.136779,329,194.884521
-384.132692,611,203.69256
-351.640786,457,210.558915
-429.655018,605,219.632703
-427.725003,609,228.348128
-284.861122,537,236.04674
-370.327072,856,250.255809
-202.073529,204,252.848471
-137.635271,188,255.434338
-333.462026,434,262.243402
-48.754541,445,268.425471
-376.156355,630,277.334093
-125.487972,644,286.811009
-179.576199,483,295.31358
-342.077841,595,304.703252
-207.428627,1000,322.849194
-119.026078,506,332.283271
-432.484006,729,344.749978
-205.790262,1000,362.448912
-397.179457,587,372.849337
-170.082659,1000,389.91924
-23.173181,333,395.608819
-249.950143,419,402.723676
-30.989228,577,412.891219
-131.741823,689,425.590509
-146.039447,984,444.237774
-145.138835,1000,463.374035
-144.638581,1000,480.543552
-139.292927,1000,500.800662
-38.433766,1000,519.377621
-63.327893,485,529.500142
-160.282211,1000,550.301867
-131.532605,1000,571.115541
-116.926187,1000,591.250043
-160.593188,1000,610.453307
-197.19338,294,615.788724
-143.228586,1000,634.761198
-53.576261,1000,655.737709
-52.103707,1000,675.545001
-95.872948,1000,694.678134
-103.629479,1000,714.707975
-159.135905,1000,733.894507
-112.550701,1000,753.096519
-80.801112,1000,771.001623
-72.857867,1000,787.909703
-131.278541,1000,805.48773
-113.983976,1000,822.838703
-185.854442,256,827.301905
-224.703486,124,829.555377
-299.394156,963,845.737926
-265.491309,957,861.468633
-75.729406,1000,877.256345
-117.235421,127,879.540201
-208.514375,112,881.385019
-209.196797,126,883.101271
-273.832411,731,893.232216
-173.607381,202,896.09213
-49.583084,1000,912.117696
-228.694847,262,915.81671
-216.47104,127,917.512962
-194.89944,258,920.900934
-229.649929,202,923.419323
-191.739078,125,925.047115
-225.358147,238,928.636224
-242.423658,128,930.205472
-174.606875,203,932.417185
-177.323645,261,935.489968
-175.029517,364,939.986661
-305.498892,958,952.223319
-171.789689,100,953.44601
-223.543767,170,955.616787
-258.448682,271,958.365186
-296.613332,391,962.632655
-233.17915,567,968.441403
-228.642554,426,973.483998
-289.912452,539,979.441141
-284.154671,282,982.383898
-147.491199,158,984.139022
-151.743917,98,985.221383
-216.736812,87,986.189514
-186.943801,125,987.498257
-190.42642,150,989.148112
-120.100749,115,990.400733
-246.529465,282,993.139463
-240.257286,319,996.39305
-305.35962,611,1003.029209
-202.996659,128,1004.267532
