#{"t_start": 1716146085.0270865, "env_id": "LunarLander-v2"}
r,l,t
-287.359958,106,0.845608
-434.894915,96,1.569244
-139.552135,74,2.167849
-97.931146,70,2.757459
-261.477627,108,3.785172
-411.279709,65,4.275767
-264.609756,81,4.878879
-377.881622,69,5.392955
-312.189593,93,6.050056
-255.924389,103,6.784011
-172.078562,64,7.27134
-277.829896,67,7.716969
-144.955994,108,8.471595
-265.911985,68,8.970689
-371.437231,114,9.823797
-308.681224,114,10.619919
-352.549212,64,11.098809
-597.360264,106,11.867782
-548.177852,109,12.653768
-560.661165,80,13.231275
-290.399641,95,13.895623
-529.956281,171,15.144829
-626.166146,97,15.808929
-349.051476,126,16.685572
-172.618138,143,17.725748
-357.518304,106,18.500918
-483.851608,93,19.213046
-180.515362,76,19.736136
-645.106303,94,20.421683
-656.517621,119,21.267316
-222.573673,216,22.876893
-150.0136,114,23.723185
-325.824768,86,24.345798
-552.286222,115,25.201454
-257.639065,79,25.77454
-227.273749,92,26.469151
-31.437327,165,27.659108
-300.710725,167,28.895786
-314.563682,101,29.754907
-196.957163,128,30.703054
-203.94092,100,31.456239
-313.553162,100,32.196398
-276.622531,112,33.004087
-125.683413,103,33.792767
-39.772513,85,34.449978
-345.21043,146,35.622149
-198.526585,77,36.294508
-407.369692,131,37.381679
-166.713139,95,38.262326
-255.697788,152,39.628031
-183.338261,134,40.664188
-258.925587,137,41.7285
-200.311803,103,42.512668
-72.217714,177,43.900514
-450.429687,243,45.843323
-84.620938,106,46.658437
-29.302412,221,48.432705
18.305293,92,49.135703
-295.771553,183,50.574136
-146.556847,113,51.462785
-121.985006,124,52.473961
-12.601163,101,53.384084
-610.18198,307,56.493535
36.26108,170,58.462415
-73.451888,137,59.834439
-410.049221,296,62.988775
-160.499425,104,64.090973
-171.3722,317,67.445036
-126.661018,281,70.193932
-192.606673,259,72.671762
-185.522913,554,78.33378
-33.070188,110,79.378983
-242.034473,468,83.889816
-205.202663,564,89.928818
-309.708183,636,97.319998
-174.395486,1000,109.951911
-161.967575,1000,125.75662
-224.384214,1000,141.635537
-165.974934,1000,156.327917
-208.909678,1000,170.755822
-160.501796,1000,186.565497
-181.519165,1000,201.302684
-170.011439,1000,215.989753
-190.27647,1000,230.568976
-143.009916,1000,246.08419
-121.307769,1000,261.130713
-152.667121,1000,275.194331
-146.976616,1000,290.847247
-172.877319,1000,307.199296
-31.057769,207,310.746353
-153.96007,1000,328.976051
-156.423992,309,334.382612
-127.46594,1000,352.004615
-71.68576,1000,370.032518
-155.998818,1000,386.74013
-71.347223,119,388.862109
-101.630892,1000,406.157191
-165.734644,1000,424.447299
-105.804378,1000,443.248102
-114.437661,1000,462.346895
-125.880642,1000,479.565054
-130.621217,1000,499.846992
-74.294446,1000,518.186229
-165.77484,1000,538.787882
-41.934799,1000,559.60324
-80.906035,1000,580.563511
-104.080993,1000,599.722568
-142.75668,1000,618.988041
-150.609142,388,626.037588
-117.429894,1000,646.565927
-85.436213,1000,667.002803
-107.418377,1000,686.386147
-119.637567,1000,706.296191
-117.717708,1000,725.916635
-88.265919,1000,745.042288
-76.005557,1000,762.864667
-158.246538,111,764.486987
-97.122078,1000,782.766657
-130.478843,1000,799.782052
-176.530128,1000,817.625111
-67.165781,1000,834.854361
-179.192446,629,845.00281
-245.381597,883,859.130789
-140.204012,484,866.672407
-158.617692,282,870.542295
-150.155742,287,875.738069
-204.285382,98,877.719422
-131.63958,164,880.632938
-48.031084,1000,894.583919
-142.233627,192,897.32689
-311.354569,947,912.656783
-202.500043,408,918.149569
-212.110897,672,927.144007
-176.390995,437,932.461688
-177.77066,470,938.101402
-204.353642,422,943.557539
-230.825044,226,946.564876
-289.582122,318,950.388441
-191.321838,148,952.30383
-190.026353,260,955.551779
-238.907046,201,957.572062
-204.422106,135,958.98077
-214.081967,150,960.490615
-183.404904,334,964.130382
-250.383988,397,968.225879
-176.602552,302,971.710397
-142.015157,204,974.165603
-150.630809,114,975.37879
-219.961777,781,983.905976
-283.694716,395,988.219895
-199.009845,123,989.564164
-265.959799,267,992.226836
-156.394503,377,996.094505
-228.450875,437,1000.693182
-140.610259,127,1002.136394
