#{"t_start": 1716139205.6158082, "env_id": "LunarLander-v2"}
r,l,t
-101.074639,69,0.182036
-120.059115,84,0.350595
-208.932715,69,0.495104
-108.415468,114,0.738335
-105.693306,120,1.019889
-315.399851,92,1.224912
-368.454652,122,1.543462
-220.638104,121,1.847507
-317.330724,99,2.116533
-104.210999,75,2.324059
-423.45467,98,2.569587
-129.027345,87,2.802609
-238.756911,86,3.024146
-396.791077,109,3.257274
-120.403321,77,3.414287
-307.774123,92,3.595309
-318.95088,87,3.77487
-353.79521,76,3.930403
-245.819235,96,4.125923
-244.559535,100,4.338991
-132.819981,92,4.528502
-159.884639,60,4.651534
