#{"t_start": 1716139205.6248124, "env_id": "LunarLander-v2"}
r,l,t
-271.498549,124,0.28154
-288.774852,68,0.423099
-301.468666,112,0.657125
-246.879031,131,0.960883
-26.444029,96,1.178904
-259.559143,91,1.412435
-262.796237,74,1.593456
-284.289603,142,1.968011
-328.848073,87,2.20704
-94.622002,72,2.395566
-213.882234,121,2.707097
-106.672808,67,2.891627
-88.555793,75,3.06765
-280.642953,91,3.263268
-410.163197,83,3.427793
-42.210511,65,3.557304
-121.002673,79,3.721867
-68.766524,67,3.860891
-169.281397,137,4.137425
-320.611072,76,4.297951
-96.572952,74,4.453495
-145.119776,86,4.62753
