#{"t_start": 1716139205.6473362, "env_id": "LunarLander-v2"}
r,l,t
-74.987665,117,0.246016
-214.64882,139,0.534089
-96.38166,84,0.719808
-217.737944,85,0.914358
-121.654196,106,1.15838
-270.93306,83,1.369908
-125.833168,76,1.558933
-134.667345,86,1.77696
-112.684506,80,1.996491
-277.717016,100,2.271023
-251.184909,88,2.491553
-220.339651,128,2.836104
-211.924778,97,3.07113
-87.594791,83,3.243744
-383.243,86,3.417269
-131.477122,90,3.596794
-134.29055,99,3.803367
-444.532854,98,4.00039
-248.553979,78,4.1669
-251.869472,108,4.387463
