#{"t_start": 1716139205.6188087, "env_id": "LunarLander-v2"}
r,l,t
-219.201078,138,0.317075
0.852171,80,0.484103
-95.55061,82,0.655129
-284.091245,97,0.876376
-170.345514,100,1.109397
-192.707445,123,1.412439
-277.016229,100,1.66297
-98.353875,124,1.992015
-119.735246,122,2.324059
-127.771101,96,2.563586
-104.930354,62,2.729608
-408.214339,108,3.013146
-383.347736,96,3.220764
-198.228257,88,3.396287
-81.990588,65,3.530308
-144.975391,100,3.73387
-248.315723,99,3.935411
-79.431831,68,4.071919
-182.056401,85,4.251942
-101.538027,100,4.461499
-139.891599,75,4.610013
