#{"t_start": 1716142918.6533942, "env_id": "LunarLander-v2"}
r,l,t
-123.197535,83,0.923482
-288.34324,106,1.158029
-303.665676,67,1.321053
-303.457443,131,1.675183
-122.33545,84,1.879215
-529.449464,66,2.043255
-272.238893,111,2.299788
-254.24654,103,2.570855
-93.466572,65,2.73537
-463.985682,79,2.947402
-54.746168,108,3.230463
-230.96277,61,3.366482
-567.222611,103,3.607031
-52.345903,57,3.759555
-115.713568,109,4.040616
-131.692649,92,4.273092
-517.335012,123,4.543627
-554.864934,93,4.779701
43.912933,85,5.000747
-301.810321,73,5.192815
-149.732165,84,5.411837
-303.948699,91,5.634382
-418.364664,96,19.969587
-367.864832,80,20.164686
-222.498403,69,20.333708
-212.405098,69,20.515237
-343.164811,102,20.778788
-213.858796,129,21.105855
-342.293969,82,21.306887
-179.908433,75,21.472915
-245.13292,92,21.707472
-458.685682,102,21.977022
-91.23894,69,22.145047
-92.465333,72,22.309087
-195.647134,117,22.601152
-125.962074,85,22.816178
-447.233397,76,23.020727
-349.363502,130,23.360287
-268.38782,94,23.603276
-318.761942,142,23.953806
-389.697886,84,24.155362
-187.484594,68,24.311383
-39.659876,91,24.518953
-253.528436,77,24.68399
-330.19263,93,24.868504
-115.601527,127,38.469607
-225.70488,85,38.658155
-314.283515,85,38.842183
-389.964657,119,39.120237
-23.31025,163,39.510287
-220.652289,109,39.783337
-386.904597,89,40.007925
-403.980861,127,40.316977
-149.290445,57,40.481022
-367.611195,83,40.709589
-135.136001,80,40.967632
-109.838292,107,41.31876
-185.074334,91,41.569309
-348.360254,115,41.954393
-539.742492,85,42.207461
-76.081462,89,42.478021
-111.560091,91,42.728565
-191.142727,111,43.040648
-214.382993,83,43.314204
-118.766649,78,43.574785
-413.952228,97,43.895864
-188.424272,96,60.532986
-88.33217,87,60.765088
-116.475786,112,61.05815
-38.193984,154,61.496243
5.974656,95,61.79132
-112.50405,92,62.081105
-182.037663,94,62.380276
-117.400571,135,62.860373
-224.206196,108,63.229437
-227.787088,98,63.555005
-81.643338,76,63.793034
-316.265622,102,64.146606
-130.060654,109,64.456137
-74.243433,70,64.661673
-89.636827,71,64.852698
-46.715814,115,65.14374
-202.328583,90,65.375783
-71.302228,87,65.603326
-104.349473,92,65.85688
-22.798348,131,66.220959
-173.522068,103,80.38192
-162.618791,83,80.613483
-102.709172,109,80.940529
-62.957404,123,81.307579
-56.721116,114,81.633068
-126.938181,120,81.996123
-96.811001,71,82.220673
-106.781855,135,82.565238
-145.079761,111,82.825268
-120.452615,85,83.050306
-30.069723,69,83.207819
-110.060495,97,83.470367
-135.304568,99,83.741438
-63.054603,93,84.023494
-39.041118,87,84.242662
-103.553191,110,84.567728
-139.410647,73,84.765745
-91.904352,69,84.961786
-116.637301,108,85.279787
-259.039666,101,85.507812
-97.80234,67,85.689371
-69.616061,80,99.72719
-53.322832,118,100.02074
-57.190465,89,100.248783
-43.34704,86,100.45681
-34.769209,72,100.635834
-69.198027,111,100.954396
-35.96033,135,101.330097
-62.76428,99,101.652668
-133.66354,77,101.935706
-11.257457,89,102.228097
-102.542918,92,102.523647
-161.426527,99,102.819688
-41.780579,116,103.223241
-89.366286,97,103.570806
-14.844587,78,103.851343
-98.387724,66,104.088801
-41.327823,84,104.314826
-33.796032,100,104.576885
-75.074372,99,104.852425
-37.96554,73,105.050988
-51.99826,94,105.294018
-62.370272,123,105.699134
-117.988673,71,121.416646
-139.692281,92,121.737811
0.315894,82,122.00336
-15.833171,101,122.340442
-106.9526,110,122.689494
-23.074885,120,123.073629
-41.649607,100,123.390255
-33.486002,136,123.847828
-48.176356,111,124.234432
-104.271156,98,124.547494
-62.990614,99,124.867551
-81.587297,102,125.195623
-27.453549,102,125.536164
-78.642966,113,125.909754
-114.207873,113,126.313362
-79.936093,116,126.679931
-2.219496,73,126.918969
-20.20971,110,127.219018
-53.849169,97,127.46956
-91.940487,118,127.807644
-100.163121,122,142.645427
-138.419937,113,143.0205
-12.96566,122,143.40065
-65.06768,105,143.776225
-66.539624,119,144.18981
-89.774855,130,144.617426
-166.929615,109,144.984499
-53.905869,152,145.517609
-45.426854,89,145.8315
-5.99929,137,146.363118
-37.303156,76,146.694834
-40.291341,142,147.264978
22.760527,117,147.82869
-32.915826,91,148.269804
-2.16286,92,148.716369
-144.80701,117,149.412081
-37.190317,98,149.830345
-21.514339,130,150.350412
-258.301288,747,167.196338
-125.416185,140,168.08544
-37.516448,124,168.685025
17.399758,125,169.256648
-37.290731,121,169.881247
-159.085081,109,170.504854
39.550116,168,171.505015
-23.573112,95,171.971696
11.742774,87,172.348846
-74.417863,142,172.976445
0.360368,111,173.427511
23.602358,1000,191.602151
14.57042,158,192.51085
8.483019,106,193.178451
-90.997227,140,194.244131
-24.473129,116,195.137767
-37.762032,129,196.131926
-60.286939,156,197.216065
-71.367477,93,198.000148
-105.455666,121,198.945354
-23.39235,157,212.019163
50.654726,140,212.886894
-131.652628,108,213.45356
-92.573988,105,213.789172
-9.649089,166,214.444713
-20.322404,189,215.569689
-38.770497,170,216.800867
-122.865189,128,218.009041
66.916456,182,219.753844
-41.931642,138,220.555096
-13.534717,139,221.183728
8.914716,141,221.725315
5.561746,182,222.393456
-128.241357,107,222.837083
-123.124245,141,235.928404
-95.018623,82,236.419477
9.162096,1000,247.632442
-75.201788,97,248.475254
-119.723318,137,249.562507
-46.803016,130,250.786798
-27.567326,153,252.317075
17.736015,170,254.647523
23.805705,159,257.086184
144.220897,1000,280.720446
-151.642163,148,282.267708
-13.259187,139,283.675553
-104.052602,100,284.644742
-70.570044,171,286.314002
103.635266,1000,307.437266
-123.768229,97,308.351268
-58.545456,184,310.227808
67.745824,1000,319.987978
-27.365101,74,320.604085
-17.864286,139,321.831285
-14.307272,184,335.502271
-83.804236,274,338.237741
132.100007,1000,348.030918
18.328466,163,349.297821
-109.439858,150,350.598264
-2.906557,1000,371.400002
0.532479,201,373.342745
-34.42434,141,374.655952
-15.132633,149,376.021837
47.022472,1000,398.360006
-21.804612,184,399.879199
77.26564,1000,408.656925
-32.951925,196,410.665248
-79.111159,118,411.922289
-66.643024,212,413.749839
99.329885,1000,434.575207
146.67939,1000,443.087907
98.097822,441,459.322529
182.399473,1000,468.452204
172.343651,323,471.852391
172.971321,1000,492.891044
164.264414,1000,501.982999
154.359971,1000,522.027787
164.039661,292,524.517657
141.811683,1000,532.734264
178.059153,1000,552.735404
221.087321,538,557.310706
182.659211,1000,577.365369
124.287561,1000,585.714183
-49.096532,138,586.706028
39.067785,228,588.281798
179.018214,1000,608.633775
143.663397,1000,616.877098
178.090781,1000,636.918894
132.907696,1000,644.608983
159.420656,581,649.629461
176.359817,293,663.600937
84.400365,1000,671.948864
-27.781965,191,673.231629
179.078849,1000,692.843058
95.222957,1000,700.21829
-29.426597,200,701.773046
153.027747,1000,721.420661
255.711825,640,726.629
77.779468,1000,746.15731
207.60799,284,748.558882
279.136776,768,754.814155
191.030984,308,757.534566
255.215986,769,775.038472
254.438974,734,781.170908
-4.765971,162,782.326613
290.568613,347,784.631483
252.513407,949,803.696481
101.358296,1000,810.594571
232.577268,539,814.821606
264.515149,263,828.280391
265.964711,456,830.948537
85.201944,1000,838.063663
189.642949,195,839.254709
112.960745,1000,857.880499
252.137715,255,859.723777
19.81242,237,861.498526
191.28138,311,863.977579
302.158582,238,865.500396
203.15282,304,867.360183
219.150276,227,880.735026
90.201531,1000,887.451639
148.740199,415,889.76818
109.426272,1000,908.108766
272.862556,358,910.497202
-8.359569,253,911.971447
-46.020421,153,913.05212
189.606202,238,914.598068
239.862937,266,916.249389
101.637167,1000,934.62001
285.59638,231,936.140005
201.661679,271,937.633049
244.657325,364,940.124005
-20.599673,192,941.318701
56.447141,98,941.91328
266.87502,289,955.41253
66.672192,1000,962.261847
135.864976,1000,980.344743
210.836827,263,981.953871
245.469647,190,983.046535
266.469494,292,984.76436
302.646196,230,986.420972
311.656812,218,987.72466
43.818764,113,988.490559
205.260031,286,990.438968
204.940744,291,992.180969
250.726097,252,1005.335853
244.706114,256,1006.809593
290.137088,258,1008.453637
100.422655,1000,1016.29612
130.209777,583,1031.910878
297.944247,266,1033.498135
184.770672,350,1035.801858
305.766294,253,1037.030136
139.600708,1000,1055.54044
192.887102,205,1056.841649
-152.324473,407,1059.586898
253.043575,256,1061.432457
272.19067,262,1063.001678
-22.636364,237,1064.121586
243.528993,304,1065.81754
237.238334,374,1079.722759
122.524446,1000,1085.843814
299.33992,227,1087.156486
282.495266,198,1088.26516
261.559904,225,1089.385332
248.660029,604,1104.897818
96.449857,1000,1111.376301
245.746155,280,1112.929035
182.41327,548,1128.043898
14.052956,80,1128.59198
259.551941,210,1129.92324
252.827464,238,1131.463025
267.419393,227,1132.874629
231.698323,291,1134.548861
296.114806,212,1135.745016
274.729874,226,1137.151735
-22.958404,233,1138.459478
290.935124,231,1139.862719
260.106117,296,1153.610047
242.06857,318,1155.494267
202.33555,248,1156.926276
226.894085,224,1158.106932
173.546495,199,1159.031086
286.531496,233,1160.227239
251.26976,256,1161.656469
276.089778,298,1163.126865
202.369856,257,1176.425345
212.989607,742,1180.996161
247.739842,315,1182.71742
112.325301,1000,1199.649258
-34.859204,138,1200.432379
288.086834,205,1201.699575
6.909364,179,1202.755226
210.585459,278,1204.166771
248.511632,341,1206.234461
115.654013,1000,1224.176156
213.107755,284,1225.766902
191.103207,225,1226.931048
190.199395,269,1228.609329
148.339414,1000,1246.569446
190.989736,238,1247.870167
296.259779,240,1249.201971
12.567452,185,1250.3462
279.048722,215,1251.652577
-33.354516,232,1252.904897
155.177532,1000,1271.180086
273.453774,405,1273.958539
270.672777,264,1275.859073
255.488974,228,1277.405334
139.379415,1000,1283.093806
158.770596,609,1298.863932
182.199795,330,1300.908229
196.927607,266,1302.314398
117.720401,1000,1320.318169
202.194108,410,1322.555034
269.959304,207,1323.83673
159.376981,1000,1330.799432
175.487157,244,1331.985917
284.204674,199,1344.821615
161.043606,1000,1350.536332
-13.645692,184,1351.539053
207.391342,598,1354.766229
225.005918,232,1367.801905
275.487915,262,1369.349658
215.272208,237,1371.045426
172.709021,436,1374.214906
193.240561,294,1376.186792
281.04588,252,1377.670376
218.28428,363,1379.800281
295.963906,250,1393.020829
274.963096,193,1394.074473
-132.002135,303,1395.844248
304.073772,198,1397.080938
264.693234,274,1398.471645
214.049687,262,1399.883489
119.024193,1000,1416.900509
226.33882,367,1418.925472
216.57333,275,1420.716251
203.19152,241,1422.095956
242.396851,195,1423.282117
278.441747,202,1424.272243
250.649725,280,1425.748448
204.783433,226,1438.810065
247.233782,290,1440.509824
286.039368,304,1442.597029
202.890682,234,1444.053844
208.892987,288,1445.480596
235.68175,236,1446.740899
53.707283,120,1447.297
-41.023409,115,1447.809105
215.386757,194,1448.695727
186.036184,275,1462.110219
11.146475,144,1462.954948
269.170293,224,1464.361141
165.486938,420,1466.830487
230.325498,594,1470.722188
178.033714,326,1472.784716
280.66862,203,1474.105918
247.797538,296,1487.85665
278.582993,206,1489.108859
238.250844,722,1493.474211
286.986783,260,1494.877269
97.654696,1000,1512.586735
213.228126,306,1514.664983
104.058774,1000,1520.889226
0.426319,170,1521.873123
270.700113,175,1522.798022
299.219921,191,1535.905905
31.772621,163,1536.852068
253.018753,219,1537.933792
253.094182,251,1539.374065
34.068819,92,1539.84064
-33.719381,177,1540.826784
123.021727,1000,1546.635773
225.520121,326,1560.211032
200.21411,412,1562.461516
281.532051,284,1564.005291
299.064352,213,1564.978434
