#{"t_start": 1716142918.666917, "env_id": "LunarLander-v2"}
r,l,t
-207.072974,101,0.948963
-424.413639,74,1.109505
-161.753457,112,1.390606
-92.319716,62,1.555151
-184.791505,70,1.742669
-343.225422,80,1.938704
-112.762333,88,2.145246
-487.542033,88,2.35678
-342.731191,98,2.622334
-71.574872,70,2.79136
-139.378711,71,2.982399
-337.180114,79,3.192943
-114.378351,63,3.335449
-198.43444,129,3.63851
-303.0639,134,3.991094
-465.716241,92,4.22313
-382.660917,91,4.440088
-481.975323,103,4.666669
-168.655666,86,4.890689
-439.845212,72,5.08725
-79.274174,93,5.328805
-241.309453,59,5.476834
-375.912127,127,5.76589
-265.254133,108,20.152163
-108.326256,97,20.395691
-400.194725,81,20.602242
-315.559882,99,20.866777
-250.46264,92,21.093333
-448.687712,96,21.322362
-381.719777,105,21.570434
-386.170312,68,21.754952
-140.18046,63,21.915981
-470.607043,96,22.15553
-365.492634,69,22.306564
-132.939537,90,22.538115
-361.250278,88,22.756651
-88.07101,81,22.967693
-212.052219,71,23.164238
-428.629717,88,23.394201
-65.210742,64,23.555238
-182.218483,107,23.800771
-195.973337,101,24.06984
-340.346286,86,24.267859
-333.68341,87,24.4649
-71.957485,69,24.611953
-222.945297,92,24.797977
-226.229667,64,38.243038
-240.390172,122,38.520106
-237.482682,66,38.671154
-236.208982,90,38.866173
-73.473729,73,39.037205
-42.690673,82,39.230223
-505.709432,101,39.475761
-16.029215,80,39.669301
-118.646445,139,40.021911
-71.574458,68,40.170936
-112.042758,96,40.445976
-367.768388,114,40.768574
-399.847922,101,41.094198
-125.625995,103,41.429751
8.741164,89,41.675821
-192.568485,80,41.949875
-91.444505,81,42.189938
-477.189696,75,42.422973
-565.621552,110,42.724041
-370.334727,91,42.984602
-208.989926,100,43.305681
-321.649596,108,43.667302
-283.214244,75,60.269904
-204.956363,101,60.564975
-67.571099,86,60.788566
-129.883215,90,61.021627
-60.15628,61,61.193156
-66.467461,91,61.456721
-288.834569,103,61.769796
-78.615581,100,62.082581
-88.454816,67,62.294236
4.504732,135,62.763335
-58.728347,71,63.006368
-48.021451,89,63.31643
10.302103,84,63.595481
-66.122915,78,63.839019
-146.297618,102,64.19708
-279.178455,116,64.520131
-145.431968,98,64.795661
-207.813661,131,65.124218
-202.748788,115,65.427771
-97.515074,75,65.618807
-215.82205,108,65.931873
-129.814252,110,66.226948
-252.071848,81,80.328397
-98.94386,82,80.555961
-36.253114,142,80.971007
-144.496126,84,81.223549
-42.548134,121,81.5671
-24.37567,90,81.828077
-71.522618,106,82.174149
-171.127574,89,82.424183
-83.640123,69,82.580716
-144.896308,115,82.851254
-69.21477,97,83.094783
-64.89934,82,83.293809
-59.573125,67,83.486846
-48.23662,81,83.709404
-131.645976,129,84.09259
-82.842535,83,84.306139
-131.021695,112,84.631721
-67.773314,112,84.938263
-120.55002,102,85.242268
-129.886959,62,85.382775
-150.177164,122,85.698848
-44.76761,77,99.72367
-104.237043,102,99.976212
-98.940294,127,100.29226
-175.40934,104,100.550303
-33.559255,108,100.84436
-120.196796,89,101.101543
9.319727,92,101.364094
-113.123043,123,101.768659
-6.47252,83,102.084731
-179.222683,145,102.539141
-150.281148,120,102.900675
-61.938478,84,103.202718
-148.518627,125,103.650795
-96.211612,101,104.007259
-101.053363,120,104.357812
-18.844645,73,104.545361
-87.980271,76,104.756393
-106.974777,102,105.030457
-88.11997,128,105.410021
-87.662207,86,105.671613
-38.480372,85,121.437639
-83.421281,93,121.756795
-71.181425,126,122.172387
-35.812353,68,122.393047
-57.836261,150,122.881557
3.846511,98,123.182161
-138.24389,88,123.458247
-148.815325,130,123.912815
-33.075915,86,124.208905
-18.541027,94,124.509467
-30.63298,117,124.886027
-129.372079,112,125.256613
-122.692542,104,125.605675
-36.049313,124,126.031288
-16.599854,129,126.459882
32.568565,131,126.879445
-106.320983,75,127.074978
-74.113196,124,127.417527
-23.154759,84,127.641593
-90.994384,188,142.690423
-93.466323,118,143.079008
-39.916573,98,143.377127
-80.63516,109,143.763703
-43.0317,87,144.063772
20.55949,104,144.406329
-43.057752,113,144.793944
0.832547,125,145.221528
-24.357267,106,145.581945
-49.524186,87,145.914505
-125.49205,189,146.677307
-120.077228,116,147.137429
-63.82505,82,147.509494
-1.381085,132,148.161762
-19.937536,105,148.666848
-21.205184,87,149.156522
-31.182749,115,149.738316
10.069748,128,150.253886
-54.305158,114,163.84008
-12.368298,144,164.50074
-136.183006,382,166.316786
-27.3048,105,167.01078
-63.545805,115,167.772285
37.918193,119,168.408965
-10.472091,118,168.932069
11.429373,99,169.432147
-22.835396,114,170.028761
-67.023823,104,170.656864
-52.160742,140,171.475488
50.153727,160,172.233806
-66.481736,143,172.869403
-22.230329,127,173.373477
-28.055041,148,186.125392
-170.769372,198,187.34156
-106.725698,106,188.060174
75.717255,174,189.433546
-7.560051,136,190.107405
-87.776084,132,190.849018
-17.577013,118,191.611684
3.268556,114,192.269288
-41.0013,146,193.165931
-125.477286,149,194.307611
-114.302013,141,195.412784
-120.891873,114,196.252915
11.934949,161,197.400562
71.122961,133,198.490197
35.718523,125,199.410944
-41.610743,144,212.346706
-49.429797,72,212.79286
64.649198,1000,219.213706
31.912213,169,220.396016
-20.215342,125,220.977669
-19.600739,157,221.621279
-88.478135,115,222.012884
-55.030851,118,222.467443
-54.821913,166,223.23113
-160.781157,95,236.135422
-59.83383,128,236.87206
13.76993,124,237.750728
23.689367,139,239.111768
46.803505,1000,250.612246
40.562627,97,251.483963
-20.888508,205,254.048375
-107.308737,164,256.564578
-67.54836,162,272.921723
-39.461603,192,275.179184
-112.918216,291,277.352843
-64.550325,89,277.912924
-3.585974,143,279.112641
-36.485431,212,281.254171
-42.905876,136,282.686688
-70.683628,172,284.393684
-24.529935,173,286.093444
-23.539356,166,287.592253
-22.44167,151,288.784039
-61.001727,110,289.80607
-0.048562,113,290.912735
-52.20031,200,304.898027
32.242296,1000,314.774296
62.023582,191,316.850778
2.876379,1000,337.790846
-61.799904,214,339.815912
-53.465141,141,341.297136
