#{"t_start": 1716142918.6579182, "env_id": "LunarLander-v2"}
r,l,t
-96.434474,61,0.860935
-345.277314,86,1.050987
-576.17132,90,1.272528
-469.154687,123,1.599151
-307.9535,68,1.776179
-112.289602,76,1.959704
-506.022249,92,2.173754
-82.090295,95,2.411777
-115.393573,74,2.61033
-638.419366,105,2.871876
-87.985077,67,3.051917
-471.236783,119,3.343448
-241.979782,115,3.612506
-167.868258,71,3.802537
10.718458,82,4.013091
-425.730119,106,4.280568
-481.260832,81,4.465596
-376.471894,119,4.747669
-422.032429,105,5.016732
-662.280263,123,5.342803
-319.788919,81,5.550351
-376.591253,101,5.768888
-131.104209,87,20.100158
-22.49814,101,20.353184
-84.725926,61,20.514713
-231.496245,69,20.676753
-145.289132,79,20.905778
-510.1466,72,21.072331
-616.670061,97,21.312362
-146.442095,100,21.545914
-113.412235,101,21.808466
-152.344865,89,22.034008
-288.027403,81,22.227042
-302.315005,83,22.430073
-355.082923,85,22.633628
-321.765423,88,22.862659
-104.660121,104,23.149729
-74.346095,120,23.477715
-223.833766,121,23.754262
-191.116453,194,24.231349
-135.402972,90,24.434374
-576.241697,117,24.687466
-292.225856,127,38.25604
-334.028663,81,38.440078
-169.69194,80,38.622631
-331.9819,98,38.83866
-111.145547,71,39.00169
-240.093855,115,39.275736
-234.278781,119,39.557274
-110.820176,63,39.712301
-73.125192,63,39.877873
-376.40532,76,40.061919
-78.666967,126,40.396973
-280.343736,77,40.597549
-41.633987,112,40.946101
-190.616544,106,41.29324
-136.177997,90,41.548782
-255.396526,122,41.950869
23.739627,91,42.223937
-334.909167,96,42.512007
-230.384911,104,42.777553
-187.558349,89,43.048123
-281.911147,86,43.33068
-229.329926,121,43.741301
-65.862882,69,60.310903
-199.24982,90,60.579973
-395.376391,92,60.815569
-211.402443,72,61.008612
-52.456858,1000,64.240592
-223.360903,99,64.50362
-175.033737,87,64.751659
-123.352986,89,64.976682
-79.660334,83,65.200219
-131.27641,92,65.430765
-108.765175,104,65.712316
-154.527647,126,66.060898
-39.685291,78,66.271947
-298.857752,89,80.393398
-111.714201,97,80.658469
-98.549041,69,80.868497
-50.403494,71,81.092023
-95.828411,82,81.329059
-82.486407,96,81.60454
-149.71193,89,81.858076
-362.222907,114,82.231153
-47.291494,90,82.468691
-82.111283,91,82.682226
-71.09844,114,82.961766
-358.014838,103,83.209297
-251.426673,93,83.459843
-107.395339,90,83.706403
-29.275401,110,84.03759
-73.853006,69,84.209628
-240.814024,101,84.497164
-127.72881,66,84.685718
-139.809872,95,84.950262
-200.729425,70,85.150815
-18.577874,78,85.354775
-51.576492,135,85.700848
-116.529252,131,99.857698
-131.082437,125,100.180746
-50.117583,133,100.505285
-31.32817,121,100.825853
-96.691519,101,101.116541
-35.256958,71,101.31457
-133.480091,108,101.66614
-128.21178,114,102.08073
-25.116314,77,102.309091
-72.166298,116,102.680653
-127.203111,126,103.084207
-190.701945,85,103.401747
-60.449528,79,103.681793
8.68289,130,104.135278
-24.18763,71,104.327304
-130.939456,127,104.665875
-34.529801,69,104.854902
-88.810352,95,105.109462
-102.749218,98,105.404021
-116.684988,100,105.708611
9.050551,93,121.511719
-41.242786,97,121.837799
-74.120293,76,122.084871
-4.983016,147,122.570451
-85.708592,123,122.970074
-91.697643,96,123.281217
-26.738286,122,123.680784
-178.734293,93,123.987344
-96.635524,110,124.361934
-90.899416,69,124.576478
-43.53518,118,124.94954
-31.143648,81,125.220101
-48.188025,106,125.575671
-98.060147,103,125.913232
-15.230084,115,126.32184
-124.446347,95,126.627896
-30.787199,79,126.881443
-59.004594,125,127.228495
-120.136492,114,127.523049
-58.518842,84,127.76812
56.569881,114,142.573899
-83.185638,66,142.788931
20.987425,122,143.206517
-16.299124,128,143.595675
-141.903463,125,144.03674
-61.890887,113,144.424327
-22.891329,89,144.731428
-51.535879,156,145.26805
-63.115037,130,145.713463
-59.326991,128,146.214558
-83.045773,122,146.713309
-25.500602,107,147.135428
6.241946,118,147.685041
-81.049962,91,148.135246
-5.891257,98,148.606327
-8.62241,146,149.440561
-46.269765,91,149.826822
23.754867,116,150.292885
-94.663148,157,164.128839
-52.11401,80,164.464701
-33.714475,104,164.823658
-32.031272,180,165.678682
-27.532661,114,166.347787
-51.623506,83,166.897797
-86.512022,112,167.65077
45.60442,1000,172.800894
-25.276196,132,173.324477
-55.29418,132,185.979841
-94.52001,125,186.687468
-50.179865,105,187.370559
-85.928006,123,188.21369
-31.676014,144,189.375899
-61.251724,117,189.966372
-28.822396,113,190.575476
-63.808423,160,191.584628
-39.884094,172,192.578343
-53.274886,172,193.762522
-16.280788,117,194.671167
-74.740932,134,195.775836
-41.515032,153,196.779978
-37.003715,106,197.583087
27.073043,113,198.521745
12.886567,122,199.418943
-82.699453,137,212.309704
43.139776,129,213.114442
-2.720157,132,213.645984
-29.235115,123,214.052949
-6.557994,155,214.782764
-51.224895,141,215.696678
-89.307565,127,216.618824
-133.684821,141,217.916508
-113.058695,151,219.383219
-59.743223,203,220.656117
-0.413359,130,221.266716
-76.005649,101,221.639279
3.725137,171,222.248422
29.821654,174,222.977077
61.348733,151,236.172932
-2.412149,167,237.146605
40.631736,185,238.742419
-73.477666,138,240.464613
16.068476,135,242.252951
8.894461,121,243.902775
-156.68534,242,247.122837
-29.030169,190,248.756767
-41.975337,119,249.773528
-29.786586,84,250.570246
55.845912,1000,276.649202
15.435223,158,277.620388
108.74797,1000,287.193697
-58.428262,169,288.528018
-186.311385,273,291.09289
7.129926,163,304.745999
-13.52162,176,306.32406
33.098422,1000,316.573709
-8.327366,182,317.996979
39.96939,1000,339.225332
-32.567005,188,341.096115
-43.53901,166,342.839368
102.069939,1000,351.930997
-118.574529,142,352.930931
-16.610506,101,353.776578
-44.416721,128,367.009602
181.436095,661,373.126199
-110.409636,130,374.364886
-0.396787,103,375.311531
55.209815,1000,385.335618
-67.182212,183,399.156596
-65.575178,212,401.132876
-342.981883,266,403.436457
13.041907,1000,412.743357
-57.503879,408,415.914356
39.022117,161,429.38204
102.443076,1000,438.093952
3.075837,118,439.053126
-43.724699,115,439.974775
106.303122,1000,461.617483
-4.105638,155,462.903695
-62.239894,166,464.249339
86.548299,1000,474.241909
-123.597656,366,477.286329
44.64244,118,490.446615
-36.990209,148,491.663337
81.796254,1000,500.783957
-82.27036,223,502.615077
-13.898332,152,503.801624
145.885828,1000,524.048552
-40.32419,155,525.322318
88.175733,1000,533.608372
267.488085,305,535.927105
176.140141,395,551.134034
95.376786,1000,559.400497
148.479344,1000,579.563169
184.615261,695,585.357616
126.952775,339,587.797208
86.086934,1000,608.077167
186.760935,424,611.410671
141.082485,1000,619.964551
168.105073,1000,639.632732
119.722618,1000,647.66014
-24.291615,192,649.323383
55.138334,96,650.073008
157.362129,1000,670.21904
223.678052,270,672.194389
-58.418325,190,673.501656
136.678058,1000,693.108066
-54.284929,212,694.625324
216.095642,540,698.594503
-68.855464,117,699.471156
183.195175,1000,718.916702
160.944947,1000,727.021039
-50.517996,158,728.166955
20.722653,115,728.939062
150.097288,1000,748.92391
105.85919,1000,757.380523
134.57042,1000,776.810422
164.533391,1000,784.416935
112.151332,1000,803.804979
120.223128,1000,810.736073
256.297045,676,815.80124
244.291638,333,829.637831
137.30686,1000,836.460044
-26.346991,139,837.390664
300.456216,181,838.677074
265.260568,279,840.327897
12.010155,217,853.59649
-34.638578,146,854.749082
207.185565,338,857.106719
166.292876,1000,864.503552
247.270211,295,866.309498
134.035981,1000,884.987173
6.517015,134,885.785306
-17.090742,202,887.06287
270.03845,300,888.704415
186.615151,253,890.17671
253.209244,210,891.430932
244.010808,317,905.491034
247.076732,282,907.374518
186.152061,250,908.923403
273.267843,260,910.705705
15.409639,185,911.71839
243.00282,223,913.287803
23.550929,208,914.624984
289.893428,283,916.391986
233.077331,352,930.296817
-8.945633,183,931.361762
128.647953,298,933.591324
300.765854,251,935.379872
260.143703,294,937.009022
32.308987,123,937.757546
294.291934,287,939.754426
241.827294,233,941.214157
34.612761,121,941.95776
230.927679,302,955.508516
234.19934,882,961.615182
281.547244,226,962.934416
231.845979,245,964.398192
261.523296,226,965.768655
