#{"t_start": 1716142918.635382, "env_id": "LunarLander-v2"}
r,l,t
-390.075556,81,0.933495
-7.586794,98,1.149038
-104.787653,73,1.329066
-259.33199,70,1.511662
-94.968424,70,1.707194
-397.535614,91,1.923231
-687.365007,118,2.206289
-59.654206,129,2.536347
-276.357722,92,2.768384
-606.103764,102,3.037448
-187.536665,115,3.326984
-167.592284,106,3.570534
-131.823848,111,3.861075
-160.363773,63,4.020619
-455.896192,104,4.285106
-96.72688,57,4.419622
-492.33383,78,4.581647
-553.431344,114,4.873717
-66.34382,79,5.080276
-350.89181,87,5.310342
-126.3434,69,5.48937
-97.960071,67,5.651395
-615.827608,90,19.973599
-196.815137,71,20.14169
-250.111496,96,20.382719
-275.196511,87,20.603778
-166.782127,67,20.779292
-93.120423,87,21.006823
-43.099787,120,21.304898
-332.80148,64,21.437407
-399.955971,90,21.66597
-92.639803,122,21.989035
-123.746885,92,22.212578
-341.677896,118,22.502136
-418.43638,68,22.658165
-193.099501,84,22.875193
-373.277931,76,23.085747
-536.076824,104,23.351286
-68.648612,68,23.542769
-254.077576,108,23.792306
-102.593941,81,24.002341
-487.154149,114,24.273889
-305.390069,75,24.440907
-57.235286,73,24.603488
-153.838352,70,24.745003
-18.764744,71,24.890026
-113.557388,116,38.458616
-212.101521,75,38.629167
-185.204909,71,38.781689
-171.554728,103,39.020226
-236.616159,83,39.211759
-82.151028,86,39.424784
-162.778696,105,39.679326
-110.919153,68,39.853354
-598.443823,112,40.123962
-289.249773,86,40.344989
-80.119368,101,40.622087
-120.465549,66,40.820109
-203.016977,94,41.123734
-100.022455,80,41.391781
-383.001612,153,41.858892
-98.435962,79,42.098955
-337.233663,75,42.330993
-121.615266,122,42.688068
-278.897744,83,42.892095
-88.562955,92,43.181191
-48.603567,117,43.575777
-196.513202,67,43.802349
-362.422263,148,60.604511
-190.244965,77,60.800099
-55.531742,80,61.014143
-222.925365,66,61.189691
-85.149116,74,61.41374
-64.132322,75,61.630289
-142.312039,99,61.933843
-121.52188,106,62.265773
4.818652,160,62.820869
-87.389646,85,63.104928
-425.732667,77,63.374472
-213.454981,84,63.657531
-50.749462,78,63.897554
14.618788,74,64.159615
-101.237003,72,64.37164
-95.737512,120,64.711689
-114.847789,88,64.939711
-51.06417,117,65.253272
-339.917331,100,65.507306
-160.57571,93,65.755367
-247.449812,119,66.085435
-96.269725,66,66.265483
-52.964625,111,80.446943
-113.543889,93,80.697009
-146.98237,138,81.130562
-92.714992,105,81.428105
-70.054493,99,81.71259
-89.80989,160,82.212684
-182.171948,104,82.494228
-158.214222,94,82.714762
-162.644736,103,82.965302
-25.457349,110,83.232833
-200.773059,105,83.515379
-116.746381,66,83.695942
-231.135643,124,84.067122
-86.70013,143,84.445191
-137.800626,111,84.763756
-107.750018,92,85.024798
-271.807117,82,85.2688
-81.195842,109,85.519825
-120.932311,83,85.751393
-77.955727,128,99.896235
4.550311,75,100.088771
-58.024976,77,100.280795
-94.357464,138,100.61984
-49.26254,121,100.961403
-107.37969,75,101.16959
-4.61414,144,101.610161
-70.548779,104,101.983229
-143.323045,95,102.288626
-137.532079,100,102.608676
-124.895227,61,102.7907
-29.442984,131,103.239255
-31.609751,130,103.706329
-113.512197,122,104.13981
-173.811895,71,104.324838
-9.066227,120,104.640896
-64.307998,100,104.916437
-22.170057,73,105.119999
-240.616946,126,105.495591
-250.846309,110,121.322134
