#{"t_start": 1716139205.645326, "env_id": "LunarLander-v2"}
r,l,t
-93.703789,86,0.187521
-52.992076,71,0.330077
-267.320343,100,0.539097
-400.441541,105,0.76782
-130.143121,100,1.004879
-460.524205,93,1.212901
-308.848706,102,1.47843
-205.782633,109,1.753965
-103.010552,85,1.985501
-392.514556,88,2.223033
-87.793454,72,2.407559
-195.678495,105,2.680582
-128.681646,91,2.932623
-109.454345,111,3.175242
-432.64731,95,3.361771
-103.979668,74,3.514793
-310.274607,92,3.704352
-360.004285,90,3.885376
-87.308689,93,4.075402
-281.123005,81,4.248429
-39.036695,73,4.399472
-227.074021,104,4.612016
