#{"t_start": 1716139205.6298094, "env_id": "LunarLander-v2"}
r,l,t
-67.524264,64,0.158032
-169.78283,140,0.445102
-156.027586,84,0.619129
-138.673782,63,0.759336
-133.634736,68,0.916885
-73.007291,67,1.073395
-140.687308,102,1.317435
-112.044588,97,1.565462
-66.410015,107,1.838505
-184.014337,73,2.037528
-98.730987,115,2.347567
-41.073208,78,2.542586
-232.613746,126,2.883633
-199.470949,120,3.161758
-105.643612,74,3.310779
-344.540113,85,3.482795
-294.498786,87,3.662832
-81.060906,62,3.782868
-211.38474,81,3.955405
-85.771829,70,4.092918
-198.761775,135,4.378986
-100.62844,70,4.52201
-84.499162,63,4.650533
