#{"t_start": 1716139205.6278124, "env_id": "LunarLander-v2"}
r,l,t
-124.016386,93,0.219541
-87.649364,69,0.358586
-104.017203,72,0.5081
-134.17504,58,0.631126
-103.366469,86,0.821372
-359.262036,115,1.092392
-16.17932,147,1.452943
-427.087818,92,1.685966
-97.3336,88,1.920012
-124.698855,90,2.160036
-82.644456,82,2.380564
-452.785702,100,2.632092
-101.915229,115,2.949136
-203.230735,81,3.130756
-63.890895,59,3.251268
-114.620124,73,3.399285
-177.860128,104,3.60532
-300.958131,76,3.760865
-301.6974,120,4.009405
-95.13977,123,4.264944
-179.600464,111,4.494494
16.792655,84,4.66753
