#{"t_start": 1716142918.646395, "env_id": "LunarLander-v2"}
r,l,t
-104.081545,62,0.875462
-95.981355,117,1.139024
-123.654179,82,1.342052
-374.759659,93,1.590673
-479.884102,88,1.822701
-64.130529,84,2.028254
-252.315298,83,2.216276
-344.406814,76,2.404304
-76.165373,77,2.611854
-103.108883,66,2.772375
-179.561178,127,3.105948
-84.359447,98,3.346972
-490.406638,94,3.565522
-318.489494,118,3.873577
-132.796041,57,4.019614
-331.570837,80,4.21365
-193.596765,84,4.423608
-258.021883,72,4.571636
-152.034713,70,4.75219
-511.018128,80,4.958226
-87.944437,95,5.209814
-377.370039,88,5.440837
-109.710344,67,5.603385
-397.134925,95,19.940581
-132.668335,72,20.105677
-229.495795,66,20.268196
-36.609565,94,20.512728
-132.230911,75,20.693279
-203.253859,124,21.025334
-472.941637,101,21.277884
-374.551331,109,21.524437
-271.987064,96,21.779986
-238.175614,92,22.011024
-108.853775,96,22.240565
-270.446909,106,22.504127
-339.068111,93,22.726662
-120.808906,94,22.975704
-261.083609,74,23.180765
-228.623506,109,23.477233
-233.447633,106,23.724787
-145.274171,82,23.917804
-85.897204,68,24.098361
-277.261779,122,24.373386
-416.517004,83,24.560955
-123.915915,70,24.70899
-110.225525,65,24.837499
-202.625367,113,38.392604
-220.855035,142,38.717673
-365.46943,73,38.876187
-49.905722,113,39.143237
-74.890146,64,39.29526
-149.735806,74,39.474776
-342.860968,114,39.753824
-251.247945,99,40.007924
-422.523081,103,40.246459
-118.047629,98,40.522545
-73.512209,65,40.704587
-111.594392,86,40.981629
-106.370729,79,41.240247
-309.839103,105,41.544302
1.768768,110,41.913393
-232.636112,79,42.148944
-277.706474,99,42.448496
-203.545557,104,42.734565
-64.524587,75,42.937595
-199.76371,88,43.21569
19.991231,87,43.50925
-222.948876,95,43.830333
-438.694543,89,60.443469
-75.298825,80,60.673012
-16.419821,72,60.857601
-220.814602,107,61.145682
-216.581092,88,61.409724
-227.05702,106,61.719801
-229.594495,126,62.110104
-113.159531,80,62.365278
-187.34691,134,62.842364
-74.225968,113,63.227437
-255.505478,101,63.565004
-169.48031,87,63.839034
-113.152918,122,64.266115
-320.552306,145,64.661672
-161.551614,118,64.970205
-96.799164,69,65.14674
-201.410103,89,65.375782
-141.684267,89,65.609325
-33.701333,1000,82.3877
-118.27135,144,82.723752
-79.469302,125,83.033799
-84.558795,96,83.257332
-132.330548,92,83.516371
-159.721135,88,83.757439
-114.43457,105,84.07311
-45.749671,120,84.390173
-20.929095,95,84.667241
-157.942508,111,84.974785
-70.87257,95,85.253787
-97.823691,110,85.509812
8.901328,120,85.836894
-53.725766,112,99.941226
-36.90017,115,100.23427
-92.404159,64,100.376299
-133.503699,98,100.629826
-27.705488,139,101.019397
-176.764935,101,101.306093
-44.229531,100,101.626151
-62.770162,109,102.013216
-89.249512,71,102.247101
-111.449927,120,102.625665
-71.578899,141,103.07073
-69.889684,86,103.388269
-92.322754,102,103.756835
-57.476624,79,104.030779
-65.708768,126,104.400338
-62.351507,121,104.715402
-35.35597,133,105.083984
-38.464429,113,105.410543
-26.907341,124,105.783648
-40.763668,111,121.662805
-79.842571,72,121.899839
23.442852,95,122.215911
-79.203701,91,122.506952
-100.744016,108,122.85357
-88.219027,121,123.247696
-18.942511,101,123.558795
-5.294372,86,123.858335
-95.464,122,124.275943
-28.903413,105,124.618003
-90.689905,101,124.94055
-66.600572,106,125.293133
2.472786,149,125.790239
-28.498827,90,126.10533
-49.047629,79,126.371885
-27.842765,111,126.720934
-65.692202,74,126.954969
-70.721175,80,127.17302
-21.996495,97,127.432049
-28.239559,102,127.709114
-92.170501,112,142.497397
-5.665259,110,142.859459
-17.546626,110,143.245048
-81.038272,157,143.753713
-68.547016,88,144.04626
-50.727804,89,144.352336
-102.54717,125,144.781467
